fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconegut,id
buscametas,Areta Trail Lasterketa,2026-07-25,Sábado,0.0,trail running,Absoluta/General,17,147,Areta,,Álava,,197
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,30,Ezcaray,,La Rioja,,198
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,93.0,Ciclismo y btt,Absoluta/General,2,38,Ezcaray,,La Rioja,,202
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,57.0,Ciclismo y btt,Absoluta/General,2,31,Ezcaray,,La Rioja,,200
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,42.0,Ciclismo y btt,Absoluta/General,2,10,Ezcaray,,La Rioja,,201
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,3,10,Ezcaray,,La Rioja,,203
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,4,Ezcaray,,La Rioja,,204
buscametas,KV Valdezcaray,2026-07-11,Sábado,0.0,trail running,Absoluta/General,19,75,Valdezcaray - Ezcaray,,La Rioja,,196
buscametas,KV Valdezcaray,2026-07-11,Sábado,0.0,trail running,Absoluta/General,4,2,Valdezcaray - Ezcaray,,La Rioja,,195
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,4,42,La Quadra - Güeñes,,Bizkaia,,178
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,19,56,La Quadra - Güeñes,,Bizkaia,,179
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,34,196,Gamiz-Fika,,Bizkaia,,181
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,133,314,Gamiz-Fika,,Bizkaia,,182
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,marcha,Absoluta/General,124,117,Gamiz-Fika,,Bizkaia,,183
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,trail running,Absoluta/General,13,115,Zierbena,,Bizkaia,,173
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,trail running,Absoluta/General,36,152,Zierbena,,Bizkaia,,172
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,marcha,Absoluta/General,104,156,Zierbena,,Bizkaia,,176
