fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,id,modalidad
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,0.18,marcha,Infantil,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,ESCOLARES 5 (2015-Ata 3 anos)
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,0.45,marcha,Infantil,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,ESCOLARES 4 (2013-2014)
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,1.3,marcha,Absoluta/General,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,ESCOALRES 3 (2011-2012)
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,1.799,marcha,Infantil,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,ESCOLARES 2 (2008-2009-2010)
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,1.8,marcha,Infantil,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,ESCOLARES 1 (2006-2007-2005)
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,4.5,marcha,Absoluta/General,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,ANDAINA
carreirasgalegas, A CORUÑA EN MARCHA CONTRA O CANCRO,2022-05-29,Domingo,5.0,road running,Absoluta/General,0,0,A Coruña,A Coruña,Galicia,AOjGbZ95,CARREIRA 5K
carreirasgalegas," ANDAINA ""MARCHA FINA ACUÑA 2023""",2023-10-22,Domingo,6.4,marcha,Absoluta/General,0,0,Bueu - Moaña,,,rVm8gpla,DENDE MOAÑA
carreirasgalegas," ANDAINA ""MARCHA FINA ACUÑA 2023""",2023-10-22,Domingo,9.4,marcha,Absoluta/General,0,0,Bueu - Moaña,,,rVm8gpla,DENDE BUEU
carreirasgalegas," ANDAINA ""MARCHA FINA ACUÑA 2024""",2024-10-27,Domingo,6.4,marcha,Absoluta/General,0,0,Bueu - Moaña,,,e4mV2pmp,DENDE MOAÑA
carreirasgalegas," ANDAINA ""MARCHA FINA ACUÑA 2024""",2024-10-27,Domingo,9.4,marcha,Absoluta/General,0,0,Bueu - Moaña,,,e4mV2pmp,DENDE BUEU
carreirasgalegas," ANDAINA ""MARCHA FINA ACUÑA 2025""",2025-10-19,Domingo,6.4,marcha,Absoluta/General,0,0,Bueu - Moaña,,,qjyNRVlK,DENDE MOAÑA
carreirasgalegas," ANDAINA ""MARCHA FINA ACUÑA 2025""",2025-10-19,Domingo,9.4,marcha,Absoluta/General,0,0,Bueu - Moaña,,,qjyNRVlK,DENDE BUEU
carreirasgalegas, CAMPIONATO DE ESPAÑA DE MARCHA EN RUTA,2025-03-09,Domingo,5.0,road running,Infantil,80,54,Marín,Morrazo,Pontevedra,dxmAQzmZ,5K SUB 16 FEM; 5K SUB 16 MASC
carreirasgalegas, CAMPIONATO DE ESPAÑA DE MARCHA EN RUTA,2025-03-09,Domingo,10.0,road running,Infantil,75,53,Marín,Morrazo,Pontevedra,dxmAQzmZ,10K SUB 18-20 FEM; 10K SUB 18-20 MASC
carreirasgalegas, CAMPIONATO DE ESPAÑA DE MARCHA EN RUTA,2025-03-09,Domingo,35.0,road running,Mayores/Veteranos,14,25,Marín,Morrazo,Pontevedra,dxmAQzmZ,35K ABS E MÁSTER
carreirasgalegas, I CARREIRA POPULAR CONCELLO DE COSPEITO,2019-05-05,Domingo,0.15,road running,Infantil,0,0,Cospeito,Terra Chá,Lugo,Maj45vl4,PITUFOS
carreirasgalegas, I CARREIRA POPULAR CONCELLO DE COSPEITO,2019-05-05,Domingo,0.6,road running,Absoluta/General,0,0,Cospeito,Terra Chá,Lugo,Maj45vl4,PROMOCIÓN
carreirasgalegas, I CARREIRA POPULAR CONCELLO DE COSPEITO,2019-05-05,Domingo,1.499,road running,Infantil,0,0,Cospeito,Terra Chá,Lugo,Maj45vl4,SUB 12
carreirasgalegas, I CARREIRA POPULAR CONCELLO DE COSPEITO,2019-05-05,Domingo,1.5,road running,Infantil,0,0,Cospeito,Terra Chá,Lugo,Maj45vl4,SUB 14
carreirasgalegas, I CARREIRA POPULAR CONCELLO DE COSPEITO,2019-05-05,Domingo,1.501,road running,Infantil,0,0,Cospeito,Terra Chá,Lugo,Maj45vl4,PROMESA
carreirasgalegas, I CARREIRA POPULAR CONCELLO DE COSPEITO,2019-05-05,Domingo,14.0,road running,Absoluta/General,0,0,Cospeito,Terra Chá,Lugo,Maj45vl4,14 KM
carreirasgalegas, I CONTROL DE INVERNO FGA EN PISTA AO AIRE LIBRE 2021,2021-02-20,Sábado,0.0,Otros,Otros,0,0,Pontevedra,Pontevedra,Pontevedra,gemDNejD,2 PARTICIPACIÓNS
carreirasgalegas, I CONTROL DE INVERNO FGA EN PISTA AO AIRE LIBRE 2021,2021-02-20,Sábado,0.1,Otros,Otros,0,0,Pontevedra,Pontevedra,Pontevedra,gemDNejD,1 PARTICIPACIÓN
carreirasgalegas, II CONTROL DE INVERNO FGA PISTA CUBERTA,2021-02-20,Sábado,0.0,Otros,Otros,0,0,Ourense,,Ourense,ypldw6jR,2 PARTICIPACIÓNS
carreirasgalegas, II CONTROL DE INVERNO FGA PISTA CUBERTA,2021-02-20,Sábado,0.1,Otros,Otros,0,0,Ourense,,Ourense,ypldw6jR,1 PARTICIPACIÓN
carreirasgalegas, XXXVI CAMPIONATO XUNTA DE GALICIA DE MARCHA EN RUTA,2025-02-09,Domingo,1.0,road running,Infantil,27,8,A Pobra do Caramiñal,,,kLl7dpmO,SUB 10 MIXTA; SUB 14 MIXTA
carreirasgalegas, XXXVI CAMPIONATO XUNTA DE GALICIA DE MARCHA EN RUTA,2025-02-09,Domingo,2.0,road running,Infantil,17,8,A Pobra do Caramiñal,,,kLl7dpmO,SUB 12 FEM; SUB 12 MASC
carreirasgalegas, XXXVI CAMPIONATO XUNTA DE GALICIA DE MARCHA EN RUTA,2025-02-09,Domingo,5.0,road running,Infantil,15,7,A Pobra do Caramiñal,,,kLl7dpmO,SUB 16 MIXTA
carreirasgalegas, XXXVI CAMPIONATO XUNTA DE GALICIA DE MARCHA EN RUTA,2025-02-09,Domingo,100.0,road running,Absoluta/General,20,10,A Pobra do Caramiñal,,,kLl7dpmO,ABSOLUTA MIXTA
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,0.1,Otros,Infantil,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,BIBERÓNS
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,0.15,Otros,Infantil,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,PITUFOS
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,0.3,Otros,Infantil,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,PREBENXAMÍN
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,0.5,Otros,Infantil,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,SUB 10; SUB 12
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,1.0,Otros,Infantil,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,SUB 14; SUB 16; SUB 18 + SUB 16
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,10.0,Otros,Absoluta/General,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,ABS DE MARÍN
carreirasgalegas,"+10 MARÍN MANUEL ROSALES, GRAN PREMIO CONCELLO DE MARÍN",2023-07-28,Viernes,10.0,road running,Absoluta/General,0,0,Marín,Morrazo,Pontevedra,AOjGgqj5,ABSOLUTA
carreirasgalegas,1/2 MARATÓN DE MONTAÑA AS MINAS DA PONTENOVA,2022-05-29,Domingo,10.0,road running,Otros,0,0,A Pontenova,A Mariña Oriental,Lugo,0YjMGpm4,10K
carreirasgalegas,1/2 MARATÓN DE MONTAÑA AS MINAS DA PONTENOVA,2022-05-29,Domingo,21.0,road running,Otros,0,0,A Pontenova,A Mariña Oriental,Lugo,0YjMGpm4,21KM
carreirasgalegas,"10K ""COSTA ÁRTABRA""",2023-03-12,Domingo,10.0,road running,Otros,0,0,A Coruña,A Coruña,Galicia,3AmkgBm4,10K
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,0.05,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,YVjXzXmQ,BIBERÓN 2021
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,0.08,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,YVjXzXmQ,PITUFO 2020
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,0.1,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,YVjXzXmQ,PITUFO 2019
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,0.125,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,YVjXzXmQ,PITUFO 2018
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,0.15,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,YVjXzXmQ,PITUFO 2017
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,0.95,road running,Infantil,55,78,Carballo,Bergantiños,A Coruña,YVjXzXmQ,SUB 10
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,2.0,road running,Infantil,79,99,Carballo,Bergantiños,A Coruña,YVjXzXmQ,SUB 12; SUB 14
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,3.0,road running,Infantil,5,21,Carballo,Bergantiños,A Coruña,YVjXzXmQ,SUB 18 E SUB 16
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,5.0,road running,Absoluta/General,68,130,Carballo,Bergantiños,A Coruña,YVjXzXmQ,CAMPIONATO 5K
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,5.0,road running,Otros,120,211,Carballo,Bergantiños,A Coruña,YVjXzXmQ,5K
carreirasgalegas,10K CARBALLO,2024-06-02,Domingo,10.0,road running,Otros,52,305,Carballo,Bergantiños,A Coruña,YVjXzXmQ,10K
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.05,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,ALlwOolp,BIBERÓNS 2022
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.08,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,ALlwOolp,PITUFO 2021
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.1,road running,Absoluta/General,0,0,Carballo,Bergantiños,A Coruña,ALlwOolp,UN PASO MÁIS
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.1,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,ALlwOolp,PITUFO 2020
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.125,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,ALlwOolp,PITUFO 2019
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.15,road running,Infantil,0,0,Carballo,Bergantiños,A Coruña,ALlwOolp,PITUFO 2018
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,0.95,road running,Infantil,64,100,Carballo,Bergantiños,A Coruña,ALlwOolp,SUB 10
carreirasgalegas,10K CARBALLO 2025 E CTO. XUNTA DE GALICIA EN RUTA 10K,2025-06-01,Domingo,2.0,road running,Infantil,68,94,Carballo,Bergantiños,A Coruña,ALlwOolp,SUB 12; SUB 14
