fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,categoria_genero,modalidad
ccnorte,"""200 CRESTAS"" DESAFÍO COUREL 2016",2016-03-19,Sábado,92.0,road running,Absoluta/General,2,201,,,,0,mixto,
ccnorte,"""I TRAIL 175º ANIVERSARIO GUARDIA CIVIL"" A BENEFICIO DE LA FUNDACIÓN PADRE RUBINOS",2019-05-12,Domingo,0.0,trail running,Absoluta/General,33,159,A Coruña,A Coruña,Galicia,0,mixto,TRAIL
ccnorte,#MarzoSaudeSolidario 2015,2015-05-10,Domingo,0.0,road running,Absoluta/General,4,8,,,,0,mixto,CARRERA CATEGORIA A
ccnorte,#MarzoSaudeSolidario 2015,2015-05-10,Domingo,0.0,road running,Absoluta/General,10,4,,,,0,mixto,CARRERA CATEGORIA B
ccnorte,#MarzoSaudeSolidario 2015,2015-05-10,Domingo,0.0,road running,Absoluta/General,5,7,,,,0,mixto,CARRERA CATEGORIA C
ccnorte,#MarzoSaudeSolidario 2015,2015-05-10,Domingo,0.0,road running,Absoluta/General,22,49,,,,0,mixto,CARRERA POPULAR
ccnorte,#MarzoSaudeSolidario 2015,2015-05-10,Domingo,0.0,trail running,Absoluta/General,6,37,,,,0,mixto,TRAIL
ccnorte,'CLÁSICA' DESAFÍO COUREL 2016,2016-09-24,Sábado,98.0,road running,Absoluta/General,4,115,,,,0,mixto,
ccnorte,+10 MARIN MANOLO ROSALES. GRAN PREMIO ENCE 2012,2012-08-03,Viernes,10.0,Otros,Absoluta/General,0,0,,,,0,mixto,Adultos
ccnorte,+10MARIN MANUEL ROSALES - GRAN PREMIO ENCE 2014,2014-08-01,Viernes,10.0,road running,Absoluta/General,0,0,Huelva,Comarca Metropolitana de Huelva,Huelva,0,mixto,PROBA ABSOLUTA
ccnorte,+8K SAN XOAN POIO - GRAN PREMIO C. C. A BARCA 2014,2014-06-21,Sábado,8.0,road running,Absoluta/General,0,0,Alacant / Alicante,l'Alacantí,Comunitat Valenciana,0,mixto,PROBA ABSOLUTA
ccnorte,10 KILÓMETROS SOLIDARIOS CIUDAD DE PONFERRADA,2014-10-25,Sábado,10.0,Otros,Absoluta/General,0,0,Ponferrada,El Bierzo,León,0,mixto,10 KILÓMETROS SOLIDARIOS PROYECTO HOMBRE
ccnorte,10 KM CIDADE UNIVERSITARIA 2014. VIGO (CUVI),2014-04-27,Domingo,10.0,road running,Absoluta/General,0,0,Madrid,,Comunidad de Madrid,0,mixto,PROBA ABSOLUTA
ccnorte,10 KM LEON CUNA DEL PARLAMENTARISMO,2019-10-20,Domingo,10.0,road running,Absoluta/General,178,600,,,,0,mixto,
ccnorte,10 KM LEÓN CUNA DEL PARLAMENTARISMO 2022,2022-10-16,Domingo,10.0,road running,Absoluta/General,126,544,,,,0,mixto,
ccnorte,10 KM LEÓN CUNA DEL PARLAMENTARISMO 2022,2022-10-16,Domingo,2.0,road running,Otros,13,20,,,,0,mixto,PROMOCION
