fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia
championsxip,EWR WINTER EDITION TERRASSA,2021-01-31,Domingo,0.0,trail running,Absoluta/General,0,0,,,
championsxip,10A CURSA DE CAP D’ANY DE SABADELL - VIRTUAL,2021-01-31,Domingo,0.0,road running,Absoluta/General,0,0,Madrid,,Comunidad de Madrid
championsxip,TEST CRONOMETRAT 5K,2021-02-21,Domingo,0.0,road running,Absoluta/General,25,103,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,10.0,road running,Absoluta/General,3,18,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,20.0,road running,Absoluta/General,3,18,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,30.0,road running,Absoluta/General,3,18,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,40.0,road running,Absoluta/General,2,16,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,50.0,road running,Absoluta/General,2,16,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,100.0,road running,Absoluta/General,1,12,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,80.0,road running,Absoluta/General,2,10,,,
championsxip,ULTRARUNNING BARCELONA,2021-03-13,Sábado,150.0,road running,Absoluta/General,0,1,,,
championsxip,TEST CRONOMETRAT 5K,2021-03-28,Domingo,0.0,road running,Absoluta/General,0,30,,,
championsxip,TEST CRONOMETRAT 5K,2021-03-28,Domingo,0.0,road running,Absoluta/General,1,7,,,
championsxip,XI CAMPIONAT CATALUNYA CROS CURT – CROS DE CANET,2021-03-28,Domingo,0.0,trail running,Infantil,26,0,Canet de Mar,Maresme,Catalunya
championsxip,XI CAMPIONAT CATALUNYA CROS CURT – CROS DE CANET,2021-03-28,Domingo,0.0,trail running,Infantil,0,39,Canet de Mar,Maresme,Catalunya
championsxip,XI CAMPIONAT CATALUNYA CROS CURT – CROS DE CANET,2021-03-28,Domingo,0.0,trail running,Infantil,15,0,Canet de Mar,Maresme,Catalunya
championsxip,XI CAMPIONAT CATALUNYA CROS CURT – CROS DE CANET,2021-03-28,Domingo,0.0,trail running,Infantil,0,48,Canet de Mar,Maresme,Catalunya
championsxip,XI CAMPIONAT CATALUNYA CROS CURT – CROS DE CANET,2021-03-28,Domingo,0.0,trail running,Absoluta/General,42,0,Canet de Mar,Maresme,Catalunya
championsxip,XI CAMPIONAT CATALUNYA CROS CURT – CROS DE CANET,2021-03-28,Domingo,0.0,trail running,Absoluta/General,0,110,Canet de Mar,Maresme,Catalunya
championsxip,TRAIL DE LLORET DE MAR,2021-04-11,Domingo,13.0,trail running,Absoluta/General,100,318,Lloret de Mar,,Girona
championsxip,TRAIL DE LLORET DE MAR,2021-04-11,Domingo,5.0,trail running,Absoluta/General,75,115,Lloret de Mar,,Girona
championsxip,EL TAST DE LA MITJA,2021-04-24,Sábado,10.0,road running,Absoluta/General,317,919,Novelda,el Vinalopó Mitjà / El Vinalopó Medio,Comunitat Valenciana
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,3,1,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,5,10,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,6,1,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,6,14,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,10,0,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,0,14,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,15,0,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,0,20,Barcelona,,Barcelona
championsxip,XIV CROS ESCOLAR DE NOU BARRIS 2021,2021-04-25,Domingo,0.0,trail running,Infantil,13,0,Barcelona,,Barcelona
