fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad
cronofinisher,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,Domingo,5.0,road running,Absoluta/General,0,0,CONIL DE LA FRONTERA,La Janda,Andalucía,206,719,5K -
cronofinisher,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,Domingo,10.0,road running,Absoluta/General,0,0,CONIL DE LA FRONTERA,La Janda,Andalucía,256,719,10 K
cronofinisher,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,Domingo,0.0,road running,Infantil,0,0,CONIL DE LA FRONTERA,La Janda,Andalucía,16,719,INFANTIL CADETE -
cronofinisher,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,Domingo,0.0,road running,Infantil,0,0,CONIL DE LA FRONTERA,La Janda,Andalucía,22,719,ALEVIN -
cronofinisher,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,Domingo,0.0,road running,Infantil,0,0,CONIL DE LA FRONTERA,La Janda,Andalucía,19,719,BENJAMIN -
cronofinisher,XV CARRERA POPULAR NOCTURNA MALPARTIDA DE CACERES,2026-07-31,Viernes,5.0,road running,Absoluta/General,0,0,MALPARTIDA DE CACERES,,Cáceres,79,733,5K
cronofinisher,XV CARRERA POPULAR NOCTURNA MALPARTIDA DE CACERES,2026-07-31,Viernes,10.0,road running,Absoluta/General,0,0,MALPARTIDA DE CACERES,,Cáceres,105,733,10K
cronofinisher,VIII MARATON CIUDAD DE JAEN,2026-07-05,Domingo,42.195,road running,Absoluta/General,6,39,JAEN,,Jaén,6,711,MARATON INDIVIDUAL
cronofinisher,VIII MARATON CIUDAD DE JAEN,2026-07-05,Domingo,42.195,road running,Equipos,0,0,JAEN,,Jaén,37,711,MARATON POR EQUIPOS
cronofinisher,VIII MARATON CIUDAD DE JAEN,2026-07-05,Domingo,42.195,road running,Absoluta/General,0,0,JAEN,,Jaén,4,711,MARATON POR PAREJAS
cronofinisher,XXXVI TRAVESÍA INTERNACIONAL A NADO “CIUDAD DE CÁDIZ”,2026-07-05,Domingo,3.3,Otros,Absoluta/General,29,51,CADIZ,Bahía de Cádiz,Andalucía,38,722,3.300 M.
cronofinisher,XXXVI TRAVESÍA INTERNACIONAL A NADO “CIUDAD DE CÁDIZ”,2026-07-05,Domingo,0.0,Otros,Absoluta/General,0,0,CADIZ,Bahía de Cádiz,Andalucía,29,722,1000 M.
cronofinisher,XII CXM MANCHA REAL - SIERRA MAGINA 2026,2026-07-04,Sábado,0.0,trail running,Absoluta/General,14,35,MANCHA REAL,,Jaén,46,715,CORTA
cronofinisher,XII CXM MANCHA REAL - SIERRA MAGINA 2026,2026-07-04,Sábado,0.0,trail running,Absoluta/General,8,47,MANCHA REAL,,Jaén,11,715,LARGA
cronofinisher,IVAFIT CHALLENGE,2026-06-20,Sábado,0.0,Otros,Absoluta/General,0,0,BOLLULLOS DEL CONDADO,El Condado,Huelva,7,720,OPEN
cronofinisher,IVAFIT CHALLENGE,2026-06-20,Sábado,0.0,Otros,Absoluta/General,82,162,BOLLULLOS DEL CONDADO,El Condado,Huelva,0,720,PAREJAS
cronofinisher,IVAFIT CHALLENGE,2026-06-20,Sábado,0.0,Otros,Absoluta/General,0,0,BOLLULLOS DEL CONDADO,El Condado,Huelva,106,720,PAREJAS MIXTA
