fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,evento_ref,resultado_ref,nombre_evento,nombre_prueba,distancia_m
cronorunner,XXII VOLTA A PEU LORIGUILLA (Junior (2009-2010)),2026-09-04,Viernes,0.0,road running,Infantil,,,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3895,XXII VOLTA A PEU LORIGUILLA,Junior (2009-2010),0
cronorunner,XXII VOLTA A PEU LORIGUILLA (Benjamin (2017-2018)),2026-09-04,Viernes,0.3,road running,Infantil,9.0,8.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3861,XXII VOLTA A PEU LORIGUILLA,Benjamin (2017-2018),300
cronorunner,XXII VOLTA A PEU LORIGUILLA (Alevin (2015-2016)),2026-09-04,Viernes,0.7,road running,Infantil,5.0,7.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3862,XXII VOLTA A PEU LORIGUILLA,Alevin (2015-2016),700
cronorunner,XXII VOLTA A PEU LORIGUILLA (Infantil (2013-2014)),2026-09-04,Viernes,1.05,road running,Infantil,2.0,1.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3863,XXII VOLTA A PEU LORIGUILLA,Infantil (2013-2014),1050
cronorunner,XXII VOLTA A PEU LORIGUILLA (Cadete (2011-2012)),2026-09-04,Viernes,1.4,road running,Infantil,1.0,2.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3864,XXII VOLTA A PEU LORIGUILLA,Cadete (2011-2012),1400
cronorunner,XXII VOLTA A PEU LORIGUILLA (10k),2026-09-04,Viernes,10.0,road running,Absoluta/General,58.0,220.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3694,XXII VOLTA A PEU LORIGUILLA,10k,10000
cronorunner,XXIX VOLTA A PEU LA CANYADA (Sub 10 (Nacidos en 2017 y posteriores)),2026-08-29,Sábado,1.0,road running,Absoluta/General,,,Paterna,l'Horta Nord,Comunitat Valenciana,331-2261,331-2261-3814,XXIX VOLTA A PEU LA CANYADA,Sub 10 (Nacidos en 2017 y posteriores),1000
cronorunner,XXIX VOLTA A PEU LA CANYADA (Sub 14 (Nacidos entre 2013 y 2016)),2026-08-29,Sábado,1.0,road running,Absoluta/General,,,Paterna,l'Horta Nord,Comunitat Valenciana,331-2261,331-2261-3815,XXIX VOLTA A PEU LA CANYADA,Sub 14 (Nacidos entre 2013 y 2016),1000
cronorunner,"XXIX VOLTA A PEU LA CANYADA (Volta a peu La Canyada (6,4km))",2026-08-29,Sábado,6.4,road running,Absoluta/General,156.0,320.0,Paterna,l'Horta Nord,Comunitat Valenciana,331-2261,331-2261-3813,XXIX VOLTA A PEU LA CANYADA,"Volta a peu La Canyada (6,4km)",6400
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Prebenjamin (2019-2020)),2026-08-28,Viernes,0.2,road running,Infantil,10.0,14.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3868,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Prebenjamin (2019-2020),200
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Benjamin (2017-2018)),2026-08-28,Viernes,0.55,road running,Infantil,5.0,20.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3869,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Benjamin (2017-2018),550
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Alevin (2015-2016)),2026-08-28,Viernes,1.1,road running,Infantil,10.0,12.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3870,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Alevin (2015-2016),1100
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Infantil (2013-2014)),2026-08-28,Viernes,1.65,road running,Infantil,4.0,6.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3871,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Infantil (2013-2014),1650
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Cadet (2009-2012)),2026-08-28,Viernes,2.2,road running,Infantil,3.0,5.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3872,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Cadet (2009-2012),2200
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (7k),2026-08-28,Viernes,7.0,road running,Absoluta/General,135.0,363.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3591,XXXIV VOLTA A PEU NOCTURNA A MANUEL,7k,7000
cronorunner,"XVI VOLTA A PEU ALBUIXECH (6,5k)",2026-08-21,Viernes,6.5,road running,Absoluta/General,204.0,479.0,Albuixech,l'Horta Nord,Comunitat Valenciana,437-2184,437-2184-3602,XVI VOLTA A PEU ALBUIXECH,"6,5k",6500
cronorunner,"XVI VOLTA A PEU ALBUIXECH (6,5k Cadet-juvenil)",2026-08-21,Viernes,6.5,road running,Infantil,13.0,26.0,Albuixech,l'Horta Nord,Comunitat Valenciana,437-2184,437-2184-3894,XVI VOLTA A PEU ALBUIXECH,"6,5k Cadet-juvenil",6500
cronorunner,"XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (5,5KM)",2026-08-08,Sábado,5.572,road running,Absoluta/General,121.0,297.0,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3693,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,"5,5KM",5572
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Querubines ( 0 a 5 años)),2026-08-08,Sábado,0.1,road running,Absoluta/General,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3848,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Querubines ( 0 a 5 años),100
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Prebenjamines ( 6 a 7 años)),2026-08-08,Sábado,0.2,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3849,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Prebenjamines ( 6 a 7 años),200
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Benjamines (8 a 9 años)),2026-08-08,Sábado,0.3,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3850,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Benjamines (8 a 9 años),300
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Alevines (10 a 11 años)),2026-08-08,Sábado,0.4,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3851,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Alevines (10 a 11 años),400
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Infantil (12 a 13 años)),2026-08-08,Sábado,0.6,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3852,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Infantil (12 a 13 años),600
