fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad
cruzandolameta,LXXXV TRAVESÍA A NADO PUERTO DE MOTRIL,2026-08-15,Sábado,0.0,Otros,Absoluta/General,45,149,Motril,Comarca de la Costa Granadina,Granada,0,2618,PRUEBA ABSOLUTA
cruzandolameta,LXXXV TRAVESÍA A NADO PUERTO DE MOTRIL,2026-08-15,Sábado,0.0,Otros,Absoluta/General,14,19,Motril,Comarca de la Costa Granadina,Granada,0,2618,PRUEBA JÓVENES
cruzandolameta,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,Otros,Infantil,6,7,Roquetas de Mar,,Almería,0,2628,INFANTIL
cruzandolameta,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,Otros,Otros,1,2,Roquetas de Mar,,Almería,0,2628,ADAPTADO INFANTIL
cruzandolameta,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,Otros,Absoluta/General,14,35,Roquetas de Mar,,Almería,0,2628,ADULTOS
cruzandolameta,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,Otros,Infantil,15,9,Roquetas de Mar,,Almería,0,2628,ALEVÍN
cruzandolameta,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,Otros,Infantil,4,7,Roquetas de Mar,,Almería,0,2628,CADETE
cruzandolameta,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,Otros,Otros,1,5,Roquetas de Mar,,Almería,0,2628,ADAPTADO ADULTOS
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Absoluta/General,52,91,Roquetas de Mar,,Almería,0,2629,ABSOLUTA
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,22,0,Roquetas de Mar,,Almería,0,2629,BEBE - F
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,12,0,Roquetas de Mar,,Almería,0,2629,PREBENJAMIN - F
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,0,13,Roquetas de Mar,,Almería,0,2629,ALEVIN - M
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,0,20,Roquetas de Mar,,Almería,0,2629,BEBE - M
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,0,20,Roquetas de Mar,,Almería,0,2629,PREBENJAMIN - M
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,0,17,Roquetas de Mar,,Almería,0,2629,BENJAMIN - M
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,16,0,Roquetas de Mar,,Almería,0,2629,BENJAMIN - F
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,7,0,Roquetas de Mar,,Almería,0,2629,CADETE - F
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,13,0,Roquetas de Mar,,Almería,0,2629,ALEVIN - F
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,0,6,Roquetas de Mar,,Almería,0,2629,INFANTIL - M
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Otros,0,2,Roquetas de Mar,,Almería,0,2629,ADAPTADO INFANTIL
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Otros,1,1,Roquetas de Mar,,Almería,0,2629,ADAPTADO ADULTOS
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,7,0,Roquetas de Mar,,Almería,0,2629,INFANTIL - F
cruzandolameta,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Sábado,0.0,road running,Infantil,0,5,Roquetas de Mar,,Almería,0,2629,CADETE - M
cruzandolameta,XXV CARRERA POPULAR ''EL PESTIÑO'',2026-08-09,Domingo,0.0,road running,Infantil,4,4,Vélez de Benaudalla,Comarca de la Costa Granadina,Granada,0,2614,ALEVIN
cruzandolameta,XXV CARRERA POPULAR ''EL PESTIÑO'',2026-08-09,Domingo,0.0,road running,Infantil,2,4,Vélez de Benaudalla,Comarca de la Costa Granadina,Granada,0,2614,INFANTIL
cruzandolameta,XXV CARRERA POPULAR ''EL PESTIÑO'',2026-08-09,Domingo,0.0,road running,Infantil,1,1,Vélez de Benaudalla,Comarca de la Costa Granadina,Granada,0,2614,CADETE
cruzandolameta,XXV CARRERA POPULAR ''EL PESTIÑO'',2026-08-09,Domingo,0.0,road running,Infantil,5,12,Vélez de Benaudalla,Comarca de la Costa Granadina,Granada,0,2614,BENJAMIN
cruzandolameta,XXV CARRERA POPULAR ''EL PESTIÑO'',2026-08-09,Domingo,10.0,road running,Absoluta/General,30,133,Vélez de Benaudalla,Comarca de la Costa Granadina,Granada,0,2614,10k
cruzandolameta,X CARRERA POPULAR ALAMEDILLA - LA SOLANA,2026-08-08,Sábado,12.0,road running,Absoluta/General,15,34,Alamedilla,Comarca de Los Montes,Granada,0,2615,12K
cruzandolameta,DESAFIO NOCTURNO LA CUMBRE ''SUBIDA AL AGÜICA VERANO'' 2026,2026-08-08,Sábado,16.0,trail running,Absoluta/General,15,52,Sorbas,,Almería,0,2621,SUBIDA 16K
cruzandolameta,GARRUCHA - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2026,2026-08-01,Sábado,0.0,road running,Absoluta/General,6,10,Garrucha,,Almería,0,2577,SUB-16
cruzandolameta,GARRUCHA - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2026,2026-08-01,Sábado,0.0,road running,Absoluta/General,10,7,Garrucha,,Almería,0,2577,SUB-14
cruzandolameta,GARRUCHA - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2026,2026-08-01,Sábado,0.0,road running,Absoluta/General,9,11,Garrucha,,Almería,0,2577,SUB-10
cruzandolameta,GARRUCHA - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2026,2026-08-01,Sábado,0.0,road running,Absoluta/General,17,13,Garrucha,,Almería,0,2577,SUB-12
cruzandolameta,GARRUCHA - CIRCUITO DE CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA 2026,2026-08-01,Sábado,0.0,road running,Absoluta/General,88,239,Garrucha,,Almería,0,2577,ABSOLUTA
cruzandolameta,XV TRAVESÍA EL PUERTO A NADO “FIESTAS DE SANTA ANA'' 2026,2026-07-26,Domingo,0.0,Otros,Infantil,22,24,Roquetas de Mar,,Almería,0,2622,ALEVIN - JUNIOR
cruzandolameta,XV TRAVESÍA EL PUERTO A NADO “FIESTAS DE SANTA ANA'' 2026,2026-07-26,Domingo,0.0,Otros,Otros,5,13,Roquetas de Mar,,Almería,0,2622,JOVENES NADADORES Y ADAPTADA
