fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia
cursescat,Olla de Tapis 2026,2026-06-21,Domingo,9.0,trail running,Absoluta/General,56,82,Tapis - Maçanet de Cabrenys,Alt Empordà,Girona
cursescat,Olla de Tapis 2026,2026-06-21,Domingo,21.0,trail running,Absoluta/General,15,55,Tapis - Maçanet de Cabrenys,Alt Empordà,Girona
cursescat,La Cirera 2026,2026-06-07,Domingo,7.0,trail running,Absoluta/General,58,36,Terrades,Alt Empordà,Girona
cursescat,La Cirera 2026,2026-06-07,Domingo,13.0,trail running,Absoluta/General,83,160,Terrades,Alt Empordà,Girona
cursescat,Espardenyada 2026,2026-06-07,Domingo,9.0,trail running,Absoluta/General,70,68,Sant Jaume de Llierca,Garrotxa,Girona
cursescat,Espardenyada 2026,2026-06-07,Domingo,16.0,trail running,Absoluta/General,60,125,Sant Jaume de Llierca,Garrotxa,Girona
cursescat,3ª Edició d'els Corriols de Colomers,2026-05-31,Domingo,7.0,marcha,Absoluta/General,47,86,Colomers,Baix Empordà,Girona
cursescat,11ª Edició Marxa de l'Ordi,2026-05-31,Domingo,5.0,marcha,Absoluta/General,90,72,Ordis,Alt Empordà,Girona
cursescat,11ª Edició Marxa de l'Ordi,2026-05-31,Domingo,10.0,marcha,Absoluta/General,49,89,Ordis,Alt Empordà,Girona
cursescat,TerresBlanques 2026,2026-05-24,Domingo,9.0,trail running,Absoluta/General,46,63,Cantallops,Alt Empordà,Girona
cursescat,TerresBlanques 2026,2026-05-24,Domingo,19.0,trail running,Absoluta/General,11,36,Cantallops,Alt Empordà,Girona
cursescat,Marxa dels Dolmens,2026-05-17,Domingo,7.0,trail running,Absoluta/General,39,28,La Jonquera,Alt Empordà,Girona
cursescat,Marxa dels Dolmens,2026-05-17,Domingo,14.0,trail running,Absoluta/General,12,40,La Jonquera,Alt Empordà,Girona
cursescat,Cursa de Primavera,2026-05-03,Domingo,5.0,road running,Absoluta/General,22,24,Sant Julià de Ramis,Gironès,Girona
cursescat,Cursa de Primavera,2026-05-03,Domingo,10.0,road running,Absoluta/General,14,12,Sant Julià de Ramis,Gironès,Girona
