fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,modalidad
iter5,10K Lleida International Race,2024-11-24,Domingo,10.0,road running,Absoluta/General,92,376,LLEIDA,Segrià,Lleida,RUN_10
iter5,AECC en marxa - Mollerussa - 5k,2018-05-13,Domingo,0.0,marcha,Absoluta/General,552,120,MOLLERUSSA,Pla d'Urgell,Lleida,MARXA
iter5,AECC en marxa - Mollerussa - 5k,2019-05-12,Domingo,0.0,marcha,Absoluta/General,407,141,MOLLERUSSA,Pla d'Urgell,Lleida,MARXA
iter5,Aeroport - Alguaire - 10K,2013-10-12,Sábado,10.0,road running,Absoluta/General,54,294,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2014-10-12,Domingo,10.0,road running,Absoluta/General,30,122,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2015-10-12,Lunes,10.0,road running,Absoluta/General,21,140,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2016-10-12,Miércoles,10.0,road running,Absoluta/General,35,115,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2017-10-12,Jueves,10.0,road running,Absoluta/General,21,101,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2018-10-12,Viernes,10.0,road running,Absoluta/General,28,113,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2019-10-12,Sábado,10.0,road running,Absoluta/General,30,108,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2024-10-12,Sábado,10.0,road running,Absoluta/General,21,68,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 10K,2025-11-01,Sábado,10.0,road running,Absoluta/General,23,88,ALGUAIRE,Segrià,Lleida,RUN_10
iter5,Aeroport - Alguaire - 5K,2017-10-12,Jueves,5.0,road running,Absoluta/General,37,35,ALGUAIRE,Segrià,Lleida,RUN_5
iter5,Aeroport - Alguaire - 5K,2024-10-12,Sábado,5.0,road running,Absoluta/General,37,48,ALGUAIRE,Segrià,Lleida,RUN_5
iter5,Aeroport - Alguaire - 5K,2025-11-01,Sábado,5.0,road running,Absoluta/General,44,60,ALGUAIRE,Segrià,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2016-01-31,Domingo,10.0,road running,Absoluta/General,94,250,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2017-01-29,Domingo,10.0,road running,Absoluta/General,86,219,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2018-01-28,Domingo,10.0,road running,Absoluta/General,64,202,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2019-01-27,Domingo,10.0,road running,Absoluta/General,74,202,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2020-01-26,Domingo,10.0,road running,Absoluta/General,110,250,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2021-07-03,Sábado,10.0,road running,Absoluta/General,45,144,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2022-01-30,Domingo,10.0,road running,Absoluta/General,69,202,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2023-01-29,Domingo,10.0,road running,Absoluta/General,71,220,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2024-01-28,Domingo,10.0,road running,Absoluta/General,69,204,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2025-01-26,Domingo,10.0,road running,Absoluta/General,79,250,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 10K,2026-01-25,Domingo,10.0,road running,Absoluta/General,108,284,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2017-01-29,Domingo,5.0,road running,Absoluta/General,76,69,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2018-01-28,Domingo,5.0,road running,Absoluta/General,87,65,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2019-01-27,Domingo,5.0,road running,Absoluta/General,97,69,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2020-01-26,Domingo,5.0,road running,Absoluta/General,112,99,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2022-01-30,Domingo,5.0,road running,Absoluta/General,86,65,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2023-01-29,Domingo,5.0,road running,Absoluta/General,125,109,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2024-01-28,Domingo,5.0,road running,Absoluta/General,120,145,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2025-01-26,Domingo,5.0,road running,Absoluta/General,152,157,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - 5K,2026-01-25,Domingo,5.0,road running,Absoluta/General,181,161,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_5
iter5,Agro-Llobera Sant Blai - Palau Anglesola - EKIDEN,2026-01-25,Domingo,10.0,road running,Absoluta/General,0,13,PALAU ANGLESOLA,Pla d'Urgell,Lleida,RUN_10
iter5,Aiguabarreig - La Granja Escarp - 10k,2015-10-17,Sábado,0.0,trail running,Absoluta/General,14,22,LA GRANJA ESCARP,Segrià,Lleida,TRAIL
iter5,Aiguabarreig - La Granja Escarp - 10k,2016-09-25,Domingo,0.0,trail running,Absoluta/General,11,15,LA GRANJA ESCARP,Segrià,Lleida,TRAIL
iter5,Aiguabarreig - La Granja Escarp - 23k,2015-10-17,Sábado,0.0,trail running,Absoluta/General,14,53,LA GRANJA ESCARP,Segrià,Lleida,TRAIL
iter5,Aiguabarreig - La Granja Escarp - 23k,2016-09-25,Domingo,0.0,trail running,Absoluta/General,22,54,LA GRANJA ESCARP,Segrià,Lleida,TRAIL
iter5,Ametlla - Vilagrassa - 10K,2024-09-15,Domingo,10.0,road running,Absoluta/General,12,41,VILAGRASSA,Urgell,Lleida,RUN_10
iter5,Ametlla - Vilagrassa - 10K,2025-09-21,Domingo,10.0,road running,Absoluta/General,16,66,VILAGRASSA,Urgell,Lleida,RUN_10
iter5,Ametlla - Vilagrassa - 5K,2024-09-15,Domingo,5.0,road running,Absoluta/General,15,23,VILAGRASSA,Urgell,Lleida,RUN_5
iter5,Ametlla - Vilagrassa - 5K,2025-09-21,Domingo,5.0,road running,Absoluta/General,47,47,VILAGRASSA,Urgell,Lleida,RUN_5
iter5,Angel - Almenar - 10K,2016-07-08,Viernes,10.0,road running,Absoluta/General,22,56,ALMENAR,Segrià,Lleida,RUN_10
iter5,Angel - Almenar - 10K,2017-07-22,Sábado,10.0,road running,Absoluta/General,15,60,ALMENAR,Segrià,Lleida,RUN_10
iter5,Angel - Almenar - 10K,2024-07-20,Sábado,10.0,road running,Absoluta/General,17,44,ALMENAR,Segrià,Lleida,RUN_10
iter5,Angel - Almenar - 10K,2025-07-26,Sábado,10.0,road running,Absoluta/General,17,60,ALMENAR,Segrià,Lleida,RUN_10
iter5,Angel - Almenar - 5K,2016-07-08,Viernes,5.0,road running,Absoluta/General,30,29,ALMENAR,Segrià,Lleida,RUN_5
iter5,Angel - Almenar - 5K,2017-07-22,Sábado,5.0,road running,Absoluta/General,20,43,ALMENAR,Segrià,Lleida,RUN_5
iter5,Angel - Almenar - 5K,2024-07-20,Sábado,5.0,road running,Absoluta/General,19,36,ALMENAR,Segrià,Lleida,RUN_5
iter5,Angel - Almenar - 5K,2025-07-26,Sábado,5.0,road running,Absoluta/General,37,55,ALMENAR,Segrià,Lleida,RUN_5
iter5,BTT Gran Fons Ponent - Almenar - Curta,2015-09-13,Domingo,0.0,Ciclismo y btt,Absoluta/General,0,13,ALMENAR,Segrià,Lleida,BTT
iter5,BTT Gran Fons Ponent - Almenar - Curta,2018-04-22,Domingo,0.0,Ciclismo y btt,Absoluta/General,4,32,ALMENAR,Segrià,Lleida,BTT
