fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad,comunidad_autonoma
mychip,XXIX CARRERA MATUTINA A LA PLAYA DE CULLERA,2026-08-01,Sábado,7.0,road running,Absoluta/General,72,254,Cullera,la Ribera Baixa,Valencia,0,3387,7k,Comunitat Valenciana
mychip,XXIX CARRERA MATUTINA A LA PLAYA DE CULLERA,2026-08-01,Sábado,7.0,road running,Absoluta/General,0,0,Cullera,la Ribera Baixa,Valencia,0,3387,7k + Camiseta,Comunitat Valenciana
mychip,V cursa Norcurna Alfarb,2026-07-04,Sábado,7.0,road running,Absoluta/General,35,98,Alfarp,,Valencia,0,3381,7K.,Valencian Community
mychip,V cursa Norcurna Alfarb,2026-07-04,Sábado,7.0,road running,Absoluta/General,0,0,Alfarp,,Valencia,0,3381,7k,Valencian Community
mychip,"12ª CARRERA NOCTURNA A LA FONT DE GARRUT, La Vall D'Uixó",2026-06-25,Jueves,10.0,trail running,Absoluta/General,68,179,la Vall d'Uixó,la Plana Baixa,Castellón,0,3373,Nocturna,Comunitat Valenciana
mychip,XXIII 10k Godella Nicoboco,2026-06-20,Sábado,10.0,road running,Absoluta/General,114,406,Urbanització Campolivar,,Valencia,0,3348,10k,Valencian Community
mychip,XXIII 10k Godella Nicoboco,2026-06-20,Sábado,0.0,road running,Infantil,0,0,Urbanització Campolivar,,Valencia,0,3348,Menores,Valencian Community
mychip,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U15 y U17,2026-06-20,Sábado,0.0,Otros,Absoluta/General,0,0,València,,Valencia,0,3383,Bloque,Valencian Community
mychip,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U15 y U17,2026-06-20,Sábado,0.0,Otros,Absoluta/General,0,0,València,,Valencia,0,3383,Open,Valencian Community
mychip,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U19 y ABSOLUTA,2026-06-20,Sábado,0.0,Otros,Absoluta/General,0,0,València,,Valencia,0,3384,Campeonato ,Valencian Community
mychip,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U19 y ABSOLUTA,2026-06-20,Sábado,0.0,Otros,Absoluta/General,0,0,València,,Valencia,0,3384,Open,Valencian Community
mychip,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",2026-06-13,Sábado,55.0,trail running,Absoluta/General,0,0,Guisando,,Ávila,0,3349,60k,Castilla y León
mychip,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",2026-06-13,Sábado,42.0,trail running,Absoluta/General,0,0,Guisando,,Ávila,0,3349,42k ,Castilla y León
mychip,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",2026-06-13,Sábado,28.0,trail running,Absoluta/General,0,0,Guisando,,Ávila,0,3349,"28k, Trail",Castilla y León
mychip,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",2026-06-13,Sábado,20.0,trail running,Absoluta/General,0,0,Guisando,,Ávila,0,3349,20k. Sprint Trail,Castilla y León
mychip,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",2026-06-13,Sábado,20.0,trail running,Absoluta/General,0,0,Guisando,,Ávila,0,3349,20k Senderista,Castilla y León
mychip,XIV Cursa per Muntanya les Xosses de Crevillent,2026-06-13,Sábado,15.5,trail running,Absoluta/General,57,301,Crevillent,el Baix Vinalopó,Alicante,0,3363,Trail,Comunitat Valenciana
mychip,XIV Cursa per Muntanya les Xosses de Crevillent,2026-06-13,Sábado,12.5,trail running,Absoluta/General,83,99,Crevillent,el Baix Vinalopó,Alicante,0,3363,Sender,Comunitat Valenciana
