fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,id,fecha_inicio,fecha_fin,tipo_deporte,ubicacion,region,pais,codigo_pais,lat,lon,url_evento,finisher_desconocido,tiene_clasificacion
RaceResult,4 Stage MTB Race Lanzarote 2026,2026-09-03,Jueves,0.0,Ciclismo y btt,Mixta,111.0,1299.0,Tinajo,,Las Palmas,325768,2026-09-03,2026-09-06,Bicicleta de montaña,Tinajo,,España,ES,29.072,-13.6749,https://my.raceresult.com/325768/,792.0,True
RaceResult,The Hybrid Run,2026-05-09,Sábado,0.0,road running,Absoluta/General,,,Torremolinos,Costa del Sol Occidental,Málaga,377397,2026-05-09,2026-05-09,Carrera de fitness,Torremolinos,Málaga,España,ES,36.6238,-4.5002,https://my.raceresult.com/377397/,,True
RaceResult,SAC Series Junio 2026,2026-06-05,Viernes,0.0,road running,Absoluta/General,,,Pollença,Sierra de Tramontana,Islas Baleares,403612,2026-06-05,2026-06-06,Carrera de fitness,Pollença,,España,ES,39.8777,3.0162,https://my.raceresult.com/403612/,,True
RaceResult,21 LEGUAS,2023-09-30,Sábado,0.0,Otros,Equipos,,,Narón,Ferrol,La Coruña,263835,2023-09-30,2023-10-01,Otros,Narón,,España,ES,43.4966,-8.196,https://my.raceresult.com/263835/,,True
RaceResult,VOLTA GALICIA BTT 2026,2026-09-03,Jueves,0.0,Ciclismo y btt,Absoluta/General,7.0,93.0,Lalín,Deza,Pontevedra,420299,2026-09-03,2026-09-06,Bicicleta de montaña,Lalín,,España,ES,42.6615,-8.1122,https://my.raceresult.com/420299/,0.0,True
RaceResult,COPA ESPAÑA PUMPTRACK MAESE OURENSE,2026-08-30,Domingo,0.0,Ciclismo y btt,Mixta,18.0,0.0,Padrenda,Tierra de Celanova,Ourense,419334,2026-08-30,2026-08-30,Bicicleta de montaña,OURENSE,,España,ES,42.1388,-8.1583,https://my.raceresult.com/419334/,74.0,True
RaceResult,DEKA STRONG & MILE: Box Akyles,2026-09-06,Domingo,1.609,Otros,Absoluta/General,,,,Washington County,Kansas,418933,2026-09-06,2026-09-06,Otros,Torre del Mar,,España,ES,39.716,-96.9997,https://my.raceresult.com/418933/,,True
RaceResult,VIII CHALLENGER JUNIOR CARBALLO,2026-08-28,Viernes,0.0,Ciclismo y btt,Mixta,,,Carballo,Bergantiños,La Coruña,418770,2026-08-28,2026-08-30,Ciclismo,CARBALLO,,España,ES,43.2127,-8.6911,https://my.raceresult.com/418770/,,True
RaceResult,VIII CHALLENGE JUNIOR CARBALLO - Etapa 1 CRI,2026-08-28,Viernes,0.0,Ciclismo y btt,Mixta,2.0,0.0,Carballo,Bergantiños,La Coruña,418766,2026-08-28,2026-08-28,Ciclismo,Carballo,,España,ES,43.2127,-8.6911,https://my.raceresult.com/418766/,202.0,True
RaceResult,DEKA MILE: SIRONBOX,2026-09-05,Sábado,1.609,Otros,Absoluta/General,,,,Washington County,Kansas,418677,2026-09-05,2026-09-05,Otros,FIGUERES ,,España,ES,39.716,-96.9997,https://my.raceresult.com/418677/,,True
RaceResult,CAMPEONATO ESPAÑA PUMPTRACK 2026 - V PUMPTRACK NOCTURNO MONDARIZ,2026-08-22,Sábado,0.0,Ciclismo y btt,Mixta,72.0,146.0,Ponteareas,O Condado,Pontevedra,417859,2026-08-22,2026-08-23,Bicicleta de montaña,PONTEAREAS,,España,ES,42.2107,-8.4993,https://my.raceresult.com/417859/,146.0,True
RaceResult,PROVITAL Backyard Ultra,2026-05-14,Jueves,0.0,Otros,Absoluta/General,,,Lastras de Cuéllar,,Segovia,416954,2026-05-14,2026-05-16,Otros,,,España,ES,41.2949,-4.0557,https://my.raceresult.com/416954/,,False
RaceResult,Sierra Nevada Skyrunning,2026-08-22,Sábado,0.0,trail running,Absoluta/General,,,Carmona,,Sevilla,416776,2026-08-22,2026-08-23,Carreras de montaña,Pradollano,Granada,España,ES,37.52,-5.8365,https://my.raceresult.com/416776/,,True
RaceResult,Vertical Famara Total By European Sports Destination 2026,2026-08-13,Jueves,0.0,road running,Absoluta/General,,,Colmenar de Oreja,,Comunidad de Madrid,415523,2026-08-13,2026-08-13,Running,,,España,ES,40.091,-3.4646,https://my.raceresult.com/415523/,,True
RaceResult,Famara Total 2026,2026-08-15,Sábado,0.0,road running,Absoluta/General,,,Teguise,,Las Palmas,415522,2026-08-15,2026-08-15,Running,Teguise,,España,ES,29.0594,-13.5606,https://my.raceresult.com/415522/,,False
