fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad
sportmaniacs,III PODOACTIVA MEDIEVAL TRAIL MONTEARAGON,2019-09-14,Sábado,21.0,trail running,Absoluta/General,5,49,Quicena,Hoya de Huesca / Plana de Uesca,Huesca,0,5d3acf93-0754-4f56-9579-016fac1f0671,TRAIL 21K
sportmaniacs,III PODOACTIVA MEDIEVAL TRAIL MONTEARAGON,2019-09-14,Sábado,9.0,trail running,Absoluta/General,15,65,Quicena,Hoya de Huesca / Plana de Uesca,Huesca,0,5d3acfe5-c1c4-4ffb-802c-0420ac1f0671,TRAIL 9K
sportmaniacs,DH LA MONTAÑA R. FINAL,2019-07-28,Domingo,0.0,Otros,Absoluta/General,0,81,Realejos (Los),,Santa Cruz de Tenerife,0,5d3addd4-92a0-4479-85af-0170ac1f0671,FINAL
sportmaniacs,Marxa Bonesvalls 2019,2019-10-20,Domingo,0.0,marcha,Absoluta/General,15,50,Olesa de Bonesvalls,Alt Penedès,Barcelona,0,5dac44b1-dc54-4946-8f70-1edeac1f00b3,MB30
sportmaniacs,Marxa Bonesvalls 2019,2019-10-20,Domingo,0.0,marcha,Absoluta/General,97,153,Olesa de Bonesvalls,Alt Penedès,Barcelona,0,5dac44b8-e6d0-4ee9-83cb-4f22ac1f1f76,MB14
sportmaniacs,VIII SUBIDA AL MOLINO - VENTAS CON PEÑA AGUILERA,2019-09-15,Domingo,0.0,Otros,Absoluta/General,5,79,Ventas con Peña Aguilera (Las),,Toledo,0,5d3dbeb0-72a8-475b-ac7a-2769ac1f0671,TODAS LAS CATEGORÍAS - Cierre de inscripciones 13/09/2019 - Hasta las 10:00h AM
sportmaniacs,Volta a peu Tous 2019,2019-09-06,Viernes,0.0,road running,Absoluta/General,44,210,Tous,,Valencia,0,5d3f01c5-cf7c-44ae-80ee-4e88ac1f0671,Absoluta
sportmaniacs,XI Marcha BTT Concello de Monterrei,2019-09-01,Domingo,0.0,road running,Absoluta/General,0,54,Monterrei,Verín,Ourense,0,5d3f11c0-fb4c-4991-9c4b-4e87ac1f0671,Ruta Larga
sportmaniacs,XI Marcha BTT Concello de Monterrei,2019-09-01,Domingo,0.0,road running,Absoluta/General,0,128,Monterrei,Verín,Ourense,0,5d3f1391-c108-4b02-9367-4e83ac1f0671,Ruta Corta
sportmaniacs,XII Cross Urbano Villa de Biescas 2019,2019-08-15,Jueves,0.0,trail running,Absoluta/General,27,119,Biescas,Alto Gállego,Huesca,0,5d3f1759-3cd4-41ee-97a4-2ddeac1f0671,Cross Urbano Villa de Biescas
sportmaniacs,TROFEU SA CADENCIA-CHALLENGE ILLES BALEARS,2019-09-01,Domingo,0.0,Otros,Absoluta/General,0,43,Sineu,Pla de Mallorca,Baleares (Illes),0,5d3ff27f-a3d0-4dfc-a02d-5458ac1f0671,1r i 2n NIVELL 
sportmaniacs,TROFEU SA CADENCIA-CHALLENGE ILLES BALEARS,2019-09-01,Domingo,0.0,Otros,Absoluta/General,3,46,Sineu,Pla de Mallorca,Baleares (Illes),0,5d3ff36c-5b14-4cae-88a7-4d81ac1f0671,3r NIVELL 
sportmaniacs,ARRIGORRIAGAKO AUSARTA MENDI LASTERKETA ,2019-10-27,Domingo,0.0,Otros,Absoluta/General,21,66,Arrigorriaga,,Bizkaia,0,5d3ffeec-8620-44ca-aef2-4d1fac1f0671,Canicros
sportmaniacs,ARRIGORRIAGAKO AUSARTA MENDI LASTERKETA ,2019-10-27,Domingo,0.0,trail running,Absoluta/General,15,73,Arrigorriaga,,Bizkaia,0,5d3fff1a-0134-47b1-b7a2-4d81ac1f0671,Trail Corto
