fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma
buscametas,Areta Trail Lasterketa,2026-07-25,Sábado,0.0,trail running,Absoluta/General,17.0,147.0,Areta,,Álava,
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,30.0,Ezcaray,,,La Rioja
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,93.0,Ciclismo y btt,Absoluta/General,2.0,38.0,Ezcaray,,,La Rioja
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,57.0,Ciclismo y btt,Absoluta/General,2.0,31.0,Ezcaray,,,La Rioja
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,42.0,Ciclismo y btt,Absoluta/General,2.0,10.0,Ezcaray,,,La Rioja
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,3.0,10.0,Ezcaray,,,La Rioja
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,4.0,Ezcaray,,,La Rioja
buscametas,KV Valdezcaray,2026-07-11,Sábado,0.0,trail running,Absoluta/General,19.0,75.0,Valdezcaray - Ezcaray,,,La Rioja
buscametas,KV Valdezcaray,2026-07-11,Sábado,0.0,trail running,Absoluta/General,4.0,2.0,Valdezcaray - Ezcaray,,,La Rioja
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,4.0,42.0,La Quadra - Güeñes,,Vizcaya,
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,19.0,56.0,La Quadra - Güeñes,,Vizcaya,
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,34.0,196.0,Gamiz-Fika,,Vizcaya,
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,133.0,314.0,Gamiz-Fika,,Vizcaya,
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,marcha,Absoluta/General,124.0,117.0,Gamiz-Fika,,Vizcaya,
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,trail running,Absoluta/General,13.0,115.0,Zierbena,,Vizcaya,
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,trail running,Absoluta/General,36.0,152.0,Zierbena,,Vizcaya,
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,marcha,Absoluta/General,104.0,156.0,Zierbena,,Vizcaya,
buscametas,BALMASEDA RUNNING FEST 10K,2026-06-06,Sábado,10.0,road running,Absoluta/General,95.0,238.0,Balmaseda,,Vizcaya,
buscametas,Cross Entre Viñas,2026-05-31,Domingo,0.0,road running,Absoluta/General,24.0,24.0,Labastida,Arabako Errioxa,Álava,
buscametas,Vuelta a San Cosme,2026-05-31,Domingo,0.0,Otros,Absoluta/General,29.0,76.0,Gordexola,,Vizcaya,
buscametas,KZ Krono,2026-05-30,Sábado,0.0,trail running,Absoluta/General,11.0,62.0,Santurtzi,,Vizcaya,
buscametas,KZ Krono,2026-05-30,Sábado,0.0,Ciclismo y btt,Absoluta/General,1.0,7.0,Santurtzi,,Vizcaya,
buscametas,KZ Krono,2026-05-30,Sábado,0.0,road running,Absoluta/General,21.0,40.0,Santurtzi,,Vizcaya,
buscametas,KZ Krono,2026-05-30,Sábado,0.0,Ciclismo y btt,Absoluta/General,2.0,5.0,Santurtzi,,Vizcaya,
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,marcha,Absoluta/General,33.0,45.0,Araia,Arabako lautada,Álava,
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,marcha,Absoluta/General,66.0,37.0,Araia,Arabako lautada,Álava,
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,trail running,Absoluta/General,8.0,59.0,Araia,Arabako lautada,Álava,
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,trail running,Absoluta/General,49.0,109.0,Araia,Arabako lautada,Álava,
buscametas,Mugarriz Mugarri,2026-05-23,Sábado,50.0,road running,Absoluta/General,21.0,93.0,Galdakao,,Vizcaya,
buscametas,Mugarriz Mugarri,2026-05-23,Sábado,24.0,road running,Absoluta/General,43.0,47.0,Galdakao,,Vizcaya,
buscametas,Etorki Mendi Trail,2026-05-17,Domingo,0.0,trail running,Absoluta/General,19.0,186.0,Getxo,,Vizcaya,
buscametas,Etorki Mendi Trail,2026-05-17,Domingo,0.0,trail running,Absoluta/General,121.0,253.0,Getxo,,Vizcaya,
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Infantil,25.0,23.0,Ugao-Miraballes,,Vizcaya,
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Infantil,19.0,28.0,Ugao-Miraballes,,Vizcaya,
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Infantil,6.0,21.0,Ugao-Miraballes,,Vizcaya,
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Mayores/Veteranos,70.0,204.0,Ugao-Miraballes,,Vizcaya,
buscametas,Lurretza Güeñes Skyrace,2026-04-19,Domingo,0.0,trail running,Absoluta/General,25.0,132.0,Güeñes,,Vizcaya,
buscametas,Lurretza Güeñes Skyrace,2026-04-19,Domingo,0.0,trail running,Absoluta/General,20.0,76.0,Güeñes,,Vizcaya,
buscametas,Subida a Estibaliz,2026-04-19,Domingo,15.0,road running,Absoluta/General,294.0,601.0,Armentia,Gasteizko kuadrilla,Álava,
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,0.0,road running,Absoluta/General,0.0,0.0,Logroño,,,La Rioja
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,5.0,road running,Absoluta/General,0.0,0.0,Logroño,,,La Rioja
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,10.0,road running,Absoluta/General,0.0,0.0,Logroño,,,La Rioja
buscametas,Trail Cabo de Ajo,2026-04-11,Sábado,0.0,road running,Absoluta/General,58.0,258.0,Ajo,,,Cantabria
buscametas,Trail Cabo de Ajo,2026-04-11,Sábado,0.0,marcha,Absoluta/General,157.0,166.0,Ajo,,,Cantabria
buscametas,UnderRun,2026-03-29,Domingo,8.0,road running,Absoluta/General,66.0,105.0,Bilbao,,Vizcaya,
buscametas,UnderRun,2026-03-29,Domingo,10.0,road running,Absoluta/General,16.0,62.0,Bilbao,,Vizcaya,
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,60.0,trail running,Absoluta/General,9.0,89.0,Zaramillo,,Vizcaya,
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,42.0,trail running,Absoluta/General,13.0,126.0,Zaramillo,,Vizcaya,
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,30.0,trail running,Absoluta/General,17.0,104.0,Zaramillo,,Vizcaya,
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,10.0,trail running,Absoluta/General,44.0,60.0,Zaramillo,,Vizcaya,
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,0.0,trail running,Absoluta/General,4.0,51.0,Amurrio,,Álava,
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,0.0,trail running,Absoluta/General,51.0,119.0,Amurrio,,Álava,
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,26.0,trail running,Absoluta/General,8.0,52.0,Mungia,,Vizcaya,
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,12.0,trail running,Absoluta/General,46.0,117.0,Mungia,,Vizcaya,
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,7.0,trail running,Absoluta/General,22.0,37.0,Mungia,,Vizcaya,
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,9.0,104.0,Bilbao,,Vizcaya,
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,0.0,0.0,Bilbao,,Vizcaya,
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,58.0,131.0,Bilbao,,Vizcaya,
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,30.0,road running,Absoluta/General,25.0,216.0,Zaramillo,,Vizcaya,
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,24.0,road running,Absoluta/General,50.0,285.0,Zaramillo,,Vizcaya,
buscametas,Pruebas Crono,2026-02-12,Jueves,30.0,road running,Absoluta/General,0.0,0.0,Zaramillo,,Vizcaya,
buscametas,Pruebas Crono,2026-02-12,Jueves,24.0,road running,Absoluta/General,0.0,0.0,Zaramillo,,Vizcaya,
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,10.0,road running,Absoluta/General,96.0,264.0,Mungia,,Vizcaya,
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,5.0,road running,Absoluta/General,163.0,131.0,Mungia,,Vizcaya,
buscametas,Bilbao Rekalde San Silvestre,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,1057.0,1703.0,Bilbao,,Vizcaya,
buscametas,San Silvestre Sodupe,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,124.0,298.0,Sodupe,,Vizcaya,
buscametas,San Silvestre de Vitoria-Gasteiz,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,1167.0,1355.0,Vitoria,Gasteizko kuadrilla,Álava,
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,6.0,12.0,Bilbao,,Vizcaya,
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,23.0,46.0,Bilbao,,Vizcaya,
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,35.0,32.0,Bilbao,,Vizcaya,
