fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,total_poblacion,poblacion_h,poblacion_d,es_carrera_popular,distancia_conocida
buscametas,Areta Trail Lasterketa,2026-07-25,Sábado,,trail running,Absoluta/General,17.0,147.0,Areta,,Álava,2026,7,Verano,164.0,True,ARETA,ALAVA,1.0,,,,False,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,,Ciclismo y btt,Absoluta/General,0.0,30.0,Ezcaray,,La Rioja,2026,7,Verano,30.0,True,EZCARAY,LA RIOJA,26.0,2057.0,1057.0,1000.0,False,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,93.0,Ciclismo y btt,Absoluta/General,2.0,38.0,Ezcaray,,La Rioja,2026,7,Verano,40.0,True,EZCARAY,LA RIOJA,26.0,2057.0,1057.0,1000.0,False,True
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,57.0,Ciclismo y btt,Absoluta/General,2.0,31.0,Ezcaray,,La Rioja,2026,7,Verano,33.0,True,EZCARAY,LA RIOJA,26.0,2057.0,1057.0,1000.0,False,True
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,42.0,Ciclismo y btt,Absoluta/General,2.0,10.0,Ezcaray,,La Rioja,2026,7,Verano,12.0,True,EZCARAY,LA RIOJA,26.0,2057.0,1057.0,1000.0,False,True
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,,Ciclismo y btt,Absoluta/General,3.0,10.0,Ezcaray,,La Rioja,2026,7,Verano,13.0,True,EZCARAY,LA RIOJA,26.0,2057.0,1057.0,1000.0,False,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,,Ciclismo y btt,Absoluta/General,0.0,4.0,Ezcaray,,La Rioja,2026,7,Verano,4.0,True,EZCARAY,LA RIOJA,26.0,2057.0,1057.0,1000.0,False,False
buscametas,KV Valdezcaray,2026-07-11,Sábado,,trail running,Absoluta/General,19.0,75.0,Valdezcaray - Ezcaray,,La Rioja,2026,7,Verano,94.0,True,VALDEZCARAY - EZCARAY,LA RIOJA,26.0,,,,False,False
buscametas,KV Valdezcaray,2026-07-11,Sábado,,trail running,Absoluta/General,4.0,2.0,Valdezcaray - Ezcaray,,La Rioja,2026,7,Verano,6.0,True,VALDEZCARAY - EZCARAY,LA RIOJA,26.0,,,,False,False
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,,trail running,Absoluta/General,4.0,42.0,La Quadra - Güeñes,,Bizkaia,2026,6,Verano,46.0,True,LA QUADRA - GUENES,BIZKAIA,48.0,,,,False,False
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,,trail running,Absoluta/General,19.0,56.0,La Quadra - Güeñes,,Bizkaia,2026,6,Verano,75.0,True,LA QUADRA - GUENES,BIZKAIA,48.0,,,,False,False
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,,trail running,Absoluta/General,34.0,196.0,Gamiz-Fika,,Bizkaia,2026,6,Verano,230.0,True,GAMIZ-FIKA,BIZKAIA,48.0,1415.0,721.0,694.0,False,False
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,,trail running,Absoluta/General,133.0,314.0,Gamiz-Fika,,Bizkaia,2026,6,Verano,447.0,True,GAMIZ-FIKA,BIZKAIA,48.0,1415.0,721.0,694.0,False,False
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,,marcha,Absoluta/General,124.0,117.0,Gamiz-Fika,,Bizkaia,2026,6,Verano,241.0,True,GAMIZ-FIKA,BIZKAIA,48.0,1415.0,721.0,694.0,False,False
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,,trail running,Absoluta/General,13.0,115.0,Zierbena,,Bizkaia,2026,6,Verano,128.0,True,ZIERBENA,BIZKAIA,48.0,1510.0,806.0,704.0,False,False
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,,trail running,Absoluta/General,36.0,152.0,Zierbena,,Bizkaia,2026,6,Verano,188.0,True,ZIERBENA,BIZKAIA,48.0,1510.0,806.0,704.0,False,False
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,,marcha,Absoluta/General,104.0,156.0,Zierbena,,Bizkaia,2026,6,Verano,260.0,True,ZIERBENA,BIZKAIA,48.0,1510.0,806.0,704.0,False,False
buscametas,BALMASEDA RUNNING FEST 10K,2026-06-06,Sábado,10.0,road running,Absoluta/General,95.0,238.0,Balmaseda,,Bizkaia,2026,6,Verano,333.0,True,BALMASEDA,BIZKAIA,48.0,7737.0,3728.0,4009.0,False,True
buscametas,Cross Entre Viñas,2026-05-31,Domingo,,road running,Absoluta/General,24.0,24.0,Labastida,Arabako Errioxa,Álava,2026,5,Primavera,48.0,True,LABASTIDA,ALAVA,1.0,1573.0,808.0,765.0,False,False
buscametas,Vuelta a San Cosme,2026-05-31,Domingo,,Otros,Absoluta/General,29.0,76.0,Gordexola,,Bizkaia,2026,5,Primavera,105.0,True,GORDEXOLA,BIZKAIA,48.0,1728.0,876.0,852.0,False,False
buscametas,KZ Krono,2026-05-30,Sábado,,trail running,Absoluta/General,11.0,62.0,Santurtzi,,Bizkaia,2026,5,Primavera,73.0,True,SANTURTZI,BIZKAIA,48.0,46530.0,22357.0,24173.0,False,False
buscametas,KZ Krono,2026-05-30,Sábado,,Ciclismo y btt,Absoluta/General,1.0,7.0,Santurtzi,,Bizkaia,2026,5,Primavera,8.0,True,SANTURTZI,BIZKAIA,48.0,46530.0,22357.0,24173.0,False,False
buscametas,KZ Krono,2026-05-30,Sábado,,road running,Absoluta/General,21.0,40.0,Santurtzi,,Bizkaia,2026,5,Primavera,61.0,True,SANTURTZI,BIZKAIA,48.0,46530.0,22357.0,24173.0,False,False
buscametas,KZ Krono,2026-05-30,Sábado,,Ciclismo y btt,Absoluta/General,2.0,5.0,Santurtzi,,Bizkaia,2026,5,Primavera,7.0,True,SANTURTZI,BIZKAIA,48.0,46530.0,22357.0,24173.0,False,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,,marcha,Absoluta/General,33.0,45.0,Araia,Arabako lautada,Álava,2026,5,Primavera,78.0,True,ARAIA,ALAVA,1.0,,,,False,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,,marcha,Absoluta/General,66.0,37.0,Araia,Arabako lautada,Álava,2026,5,Primavera,103.0,True,ARAIA,ALAVA,1.0,,,,False,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,,trail running,Absoluta/General,8.0,59.0,Araia,Arabako lautada,Álava,2026,5,Primavera,67.0,True,ARAIA,ALAVA,1.0,,,,False,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,,trail running,Absoluta/General,49.0,109.0,Araia,Arabako lautada,Álava,2026,5,Primavera,158.0,True,ARAIA,ALAVA,1.0,,,,False,False
buscametas,Mugarriz Mugarri,2026-05-23,Sábado,50.0,road running,Absoluta/General,21.0,93.0,Galdakao,,Bizkaia,2026,5,Primavera,114.0,True,GALDAKAO,BIZKAIA,48.0,24767.0,12093.0,12674.0,False,True
buscametas,Mugarriz Mugarri,2026-05-23,Sábado,24.0,road running,Absoluta/General,43.0,47.0,Galdakao,,Bizkaia,2026,5,Primavera,90.0,True,GALDAKAO,BIZKAIA,48.0,24767.0,12093.0,12674.0,False,True
buscametas,Etorki Mendi Trail,2026-05-17,Domingo,,trail running,Absoluta/General,19.0,186.0,Getxo,,Bizkaia,2026,5,Primavera,205.0,True,GETXO,BIZKAIA,48.0,75967.0,35597.0,40370.0,False,False
buscametas,Etorki Mendi Trail,2026-05-17,Domingo,,trail running,Absoluta/General,121.0,253.0,Getxo,,Bizkaia,2026,5,Primavera,374.0,True,GETXO,BIZKAIA,48.0,75967.0,35597.0,40370.0,False,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,,Otros,Infantil,25.0,23.0,Ugao-Miraballes,,Bizkaia,2026,5,Primavera,48.0,True,UGAO-MIRABALLES,BIZKAIA,48.0,4210.0,2108.0,2102.0,False,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,,Otros,Infantil,19.0,28.0,Ugao-Miraballes,,Bizkaia,2026,5,Primavera,47.0,True,UGAO-MIRABALLES,BIZKAIA,48.0,4210.0,2108.0,2102.0,False,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,,Otros,Infantil,6.0,21.0,Ugao-Miraballes,,Bizkaia,2026,5,Primavera,27.0,True,UGAO-MIRABALLES,BIZKAIA,48.0,4210.0,2108.0,2102.0,False,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,,Otros,Mayores/Veteranos,70.0,204.0,Ugao-Miraballes,,Bizkaia,2026,5,Primavera,274.0,True,UGAO-MIRABALLES,BIZKAIA,48.0,4210.0,2108.0,2102.0,False,False
