fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,anyo_cruce,total_poblacion,poblacion_h,poblacion_d,superficie_km2,densidad_poblacion,es_carrera_popular
buscametas,Areta Trail Lasterketa,2026-07-25,Sábado,0.0,trail running,Absoluta/General,17.0,147.0,Areta,,Álava,,2026,7,Verano,164.0,True,ARETA,ALAVA,1.0,2025,,,,,,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,30.0,Ezcaray,,,La Rioja,2026,7,Verano,30.0,True,EZCARAY,,,2025,,,,,,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,93.0,Ciclismo y btt,Absoluta/General,2.0,38.0,Ezcaray,,,La Rioja,2026,7,Verano,40.0,True,EZCARAY,,,2025,,,,,,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,57.0,Ciclismo y btt,Absoluta/General,2.0,31.0,Ezcaray,,,La Rioja,2026,7,Verano,33.0,True,EZCARAY,,,2025,,,,,,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,42.0,Ciclismo y btt,Absoluta/General,2.0,10.0,Ezcaray,,,La Rioja,2026,7,Verano,12.0,True,EZCARAY,,,2025,,,,,,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,3.0,10.0,Ezcaray,,,La Rioja,2026,7,Verano,13.0,True,EZCARAY,,,2025,,,,,,False
buscametas,Epic Gravel Ezcaray,2026-07-25,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,4.0,Ezcaray,,,La Rioja,2026,7,Verano,4.0,True,EZCARAY,,,2025,,,,,,False
buscametas,KV Valdezcaray,2026-07-11,Sábado,0.0,trail running,Absoluta/General,19.0,75.0,Valdezcaray - Ezcaray,,,La Rioja,2026,7,Verano,94.0,True,VALDEZCARAY - EZCARAY,,,2025,,,,,,False
buscametas,KV Valdezcaray,2026-07-11,Sábado,0.0,trail running,Absoluta/General,4.0,2.0,Valdezcaray - Ezcaray,,,La Rioja,2026,7,Verano,6.0,True,VALDEZCARAY - EZCARAY,,,2025,,,,,,False
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,4.0,42.0,La Quadra - Güeñes,,Vizcaya,,2026,6,Verano,46.0,True,LA QUADRA - GUENES,VIZCAYA,48.0,2025,,,,,,False
buscametas,La Quadrako Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,19.0,56.0,La Quadra - Güeñes,,Vizcaya,,2026,6,Verano,75.0,True,LA QUADRA - GUENES,VIZCAYA,48.0,2025,,,,,,False
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,34.0,196.0,Gamiz-Fika,,Vizcaya,,2026,6,Verano,230.0,True,GAMIZ-FIKA,VIZCAYA,48.0,2025,1415.0,721.0,694.0,15.298699999999998,92.49151888722572,False
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,trail running,Absoluta/General,133.0,314.0,Gamiz-Fika,,Vizcaya,,2026,6,Verano,447.0,True,GAMIZ-FIKA,VIZCAYA,48.0,2025,1415.0,721.0,694.0,15.298699999999998,92.49151888722572,False
buscametas,Burdin Hesiko Mendi Lasterketa,2026-06-20,Sábado,0.0,marcha,Absoluta/General,124.0,117.0,Gamiz-Fika,,Vizcaya,,2026,6,Verano,241.0,True,GAMIZ-FIKA,VIZCAYA,48.0,2025,1415.0,721.0,694.0,15.298699999999998,92.49151888722572,False
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,trail running,Absoluta/General,13.0,115.0,Zierbena,,Vizcaya,,2026,6,Verano,128.0,True,ZIERBENA,VIZCAYA,48.0,2025,1510.0,806.0,704.0,12.1542,124.23688930575439,False
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,trail running,Absoluta/General,36.0,152.0,Zierbena,,Vizcaya,,2026,6,Verano,188.0,True,ZIERBENA,VIZCAYA,48.0,2025,1510.0,806.0,704.0,12.1542,124.23688930575439,False
buscametas,Galipa Mendi Bira,2026-06-14,Domingo,0.0,marcha,Absoluta/General,104.0,156.0,Zierbena,,Vizcaya,,2026,6,Verano,260.0,True,ZIERBENA,VIZCAYA,48.0,2025,1510.0,806.0,704.0,12.1542,124.23688930575439,False
buscametas,BALMASEDA RUNNING FEST 10K,2026-06-06,Sábado,10.0,road running,Absoluta/General,95.0,238.0,Balmaseda,,Vizcaya,,2026,6,Verano,333.0,True,BALMASEDA,VIZCAYA,48.0,2025,7737.0,3728.0,4009.0,22.3736,345.8093467300747,False
buscametas,Cross Entre Viñas,2026-05-31,Domingo,0.0,road running,Absoluta/General,24.0,24.0,Labastida,Arabako Errioxa,Álava,,2026,5,Primavera,48.0,True,LABASTIDA,ALAVA,1.0,2025,1573.0,808.0,765.0,38.1073,41.278180296163725,False
buscametas,Vuelta a San Cosme,2026-05-31,Domingo,0.0,Otros,Absoluta/General,29.0,76.0,Gordexola,,Vizcaya,,2026,5,Primavera,105.0,True,GORDEXOLA,VIZCAYA,48.0,2025,1728.0,876.0,852.0,41.3001,41.84009239687071,False
buscametas,KZ Krono,2026-05-30,Sábado,0.0,trail running,Absoluta/General,11.0,62.0,Santurtzi,,Vizcaya,,2026,5,Primavera,73.0,True,SANTURTZI,VIZCAYA,48.0,2025,46530.0,22357.0,24173.0,8.8651,5248.671757791791,False
buscametas,KZ Krono,2026-05-30,Sábado,0.0,Ciclismo y btt,Absoluta/General,1.0,7.0,Santurtzi,,Vizcaya,,2026,5,Primavera,8.0,True,SANTURTZI,VIZCAYA,48.0,2025,46530.0,22357.0,24173.0,8.8651,5248.671757791791,False
buscametas,KZ Krono,2026-05-30,Sábado,0.0,road running,Absoluta/General,21.0,40.0,Santurtzi,,Vizcaya,,2026,5,Primavera,61.0,True,SANTURTZI,VIZCAYA,48.0,2025,46530.0,22357.0,24173.0,8.8651,5248.671757791791,False
buscametas,KZ Krono,2026-05-30,Sábado,0.0,Ciclismo y btt,Absoluta/General,2.0,5.0,Santurtzi,,Vizcaya,,2026,5,Primavera,7.0,True,SANTURTZI,VIZCAYA,48.0,2025,46530.0,22357.0,24173.0,8.8651,5248.671757791791,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,marcha,Absoluta/General,33.0,45.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,78.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,marcha,Absoluta/General,66.0,37.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,103.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,trail running,Absoluta/General,8.0,59.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,67.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
