fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,n_enlaces_sexo,tiene_sexo_identificado,candidato_lugar
youevent,DUATLON CROS MEDINA DE RIOSECO (1ª Circ Vallad),2008-03-08,Sábado,0.0,Multidisciplina,Absoluta/General,16.0,89.0,Medina de Rioseco,,Castilla y León,2,True,CROS MEDINA DE RIOSECO
youevent,DUATLÓN CROS PORTILLO (2ª Circ Vallad),2008-03-23,Domingo,0.0,Multidisciplina,Absoluta/General,10.0,55.0,,,,2,True,CROS PORTILLO
youevent,DUATLÓN PEÑAFIEL,2008-03-29,Sábado,0.0,Multidisciplina,Absoluta/General,9.0,92.0,Peñafiel,,Castilla y León,2,True,PEÑAFIEL
youevent,DUATLÓN CROS SIMANCAS (3ª Circ Vallad),2008-04-06,Domingo,0.0,Multidisciplina,Absoluta/General,8.0,62.0,,,,2,True,CROS SIMANCAS
youevent,DUATLÓN CIUDAD DE SALAMANCA,2008-04-13,Domingo,0.0,Multidisciplina,Absoluta/General,12.0,101.0,Salamanca,,Castilla y León,2,True,SALAMANCA
youevent,DUATLÓN VILLALMANZO,2008-04-19,Sábado,0.0,Multidisciplina,Absoluta/General,3.0,54.0,Villalmanzo,,Castilla y León,1,True,VILLALMANZO
youevent,DUATLÓN LA LOSA,2008-04-26,Sábado,0.0,Multidisciplina,Absoluta/General,3.0,28.0,La Losa,,Castilla y León,2,True,LA LOSA
youevent,DUATLÓN POR EQUIPOS MEDINA DEL CAMPO - PRUEBA FEDERADA,2008-04-26,Sábado,0.0,Multidisciplina,Equipos,8.0,33.0,,,,2,True,POR EQUIPOS MEDINA DEL CAMPO - PRUEBA FEDERADA
youevent,DUATLÓN POR EQUIPOS MEDINA DEL CAMPO - PRUEBA POPULAR,2008-04-26,Sábado,0.0,Multidisciplina,Equipos,,,,,,0,False,POR EQUIPOS MEDINA DEL CAMPO - PRUEBA POPULAR
youevent,DUATLÓN CIUDAD DE VILLAQUILAMBRE,2008-05-04,Domingo,0.0,Multidisciplina,Absoluta/General,7.0,36.0,Villaquilambre,,Castilla y León,2,True,VILLAQUILAMBRE
youevent,CIRCUITO DE DUATLÓN CROS DE SEGOVIA,2008-05-09,Viernes,0.0,Multidisciplina,Absoluta/General,0.0,0.0,,,Castilla y León,2,True,DUATLÓN CROS DE SEGOVIA
youevent,DUATLÓN CROS OTERO HERREROS (1ª Circ. Segovia),2008-05-10,Sábado,0.0,Multidisciplina,Absoluta/General,4.0,32.0,Otero de Herreros,,Castilla y León,2,True,CROS OTERO HERREROS
youevent,DUATLÓN CROS MORALEJA COCA (2ª Circ. Segovia),2008-05-17,Sábado,0.0,Multidisciplina,Absoluta/General,6.0,54.0,Nava de la Asunción,,Castilla y León,2,True,CROS MORALEJA COCA
youevent,DUATLÓN CROS CUELLAR (3ª Circ. Segovia),2008-05-31,Sábado,0.0,Multidisciplina,Absoluta/General,3.0,43.0,,,,2,True,CROS CUELLAR
youevent,TRIATLÓN VILLAMECA,2008-07-05,Sábado,0.0,Multidisciplina,Absoluta/General,7.0,102.0,Quintana del Castillo,,Castilla y León,2,True,VILLAMECA
youevent,TRIATLON CROS ALMAZAN (FEDERADA),2008-07-06,Domingo,0.0,Multidisciplina,Absoluta/General,5.0,35.0,,,,2,True,CROS ALMAZAN
youevent,XI TRIATLON CIUDAD DE VALLADOLID,2008-08-03,Domingo,0.0,Multidisciplina,Absoluta/General,28.0,198.0,Valladolid,,Castilla y León,2,True,VALLADOLID
youevent,TRIATLON CROS VILLA DE ASTUDILLO,2008-08-09,Sábado,0.0,Multidisciplina,Absoluta/General,5.0,88.0,Astudillo,,Palencia,2,True,CROS VILLA DE ASTUDILLO
youevent,TRIATLON CANAL DE CASTILLA - MEDINA DE RIOSECO,2008-08-16,Sábado,0.0,Multidisciplina,Absoluta/General,0.0,87.0,Medina de Rioseco,,Castilla y León,2,True,CANAL DE CASTILLA - MEDINA DE RIOSECO
youevent,XVI DUATLON VILLA DE CANTIMPALOS,2008-08-23,Sábado,0.0,Multidisciplina,Absoluta/General,1.0,13.0,Cantimpalos,,Castilla y León,2,True,CANTIMPALOS
youevent,III CARRERA DEL ESQUILEO - TORRECABALLEROS,2008-08-23,Sábado,0.0,Otros,Absoluta/General,0.0,0.0,Torrecaballeros,,Castilla y León,1,True,ESQUILEO - TORRECABALLEROS
youevent,V CARRERA POPULAR - SENDA DE LOS FRAILES,2008-09-06,Sábado,0.0,road running,Absoluta/General,0.0,0.0,Motilla del Palancar,,Castilla-La Mancha,1,True,SENDA DE LOS FRAILES
youevent,IV CARRERA POR LA CAÑADA SORIANO OCCIDENTAL,2008-09-21,Domingo,0.0,road running,Absoluta/General,,,Ayamonte,Costa Occidental,Huelva,0,False,POR LA CAÑADA SORIANO OCCIDENTAL
youevent,"DUATLON CROS MEDINA DE RIOSECO, VALLADOLID",2009-03-07,Sábado,0.0,Multidisciplina,Absoluta/General,10.0,128.0,Medina de Rioseco,,Castilla y León,2,True,"CROS MEDINA DE RIOSECO, VALLADOLID"
youevent,DUATLON CROS FUENTEMOLINOS - BURGOS,2009-03-14,Sábado,0.0,Multidisciplina,Absoluta/General,20.0,77.0,Fuentemolinos,,Castilla y León,2,True,CROS FUENTEMOLINOS - BURGOS
youevent,CIRCUITO CASTILLA LEON DUATLON CROS 2009,2009-03-14,Sábado,0.0,Multidisciplina,Absoluta/General,,,,,,0,False,CASTILLA LEON DUATLON CROS
