DES_d,DES_desconegut,DES_h,DES_total,NP_d,NP_desconegut,NP_h,NP_total,RET_d,RET_desconegut,RET_h,RET_total,codigo,comarca_provincia,data,event_id,finished_d,finished_desconegut,finished_h,finished_total,modalitat_nom,municipi,nom_cursa,sense_temps_d,sense_temps_h,sense_temps_total,total_classificats,total_inscrits
,,,,8,,37,45,,,6,6,197,Álava,2026-07-25,197,17,,147,164,ARETA TRAIL,Areta,Areta Trail Lasterketa,,,,164,215
,,,,,,6,6,2,,7,9,198,La Rioja,2026-07-25,198,,,30,30,Epic Gravel,Ezcaray,Epic Gravel Ezcaray,,,,34,45
,,,,,,6,6,,,7,7,202,La Rioja,2026-07-25,198,2,,38,40,Cicloturista 93K,Ezcaray,Epic Gravel Ezcaray,,,,41,53
,,,,,,3,3,,,,,200,La Rioja,2026-07-25,198,2,,31,33,Cicloturista 57K,Ezcaray,Epic Gravel Ezcaray,,,,33,36
,,,,,,4,4,,,,,201,La Rioja,2026-07-25,198,2,,10,12,Cicloturista 42K,Ezcaray,Epic Gravel Ezcaray,,,,12,16
,,,,,,5,5,,,5,5,203,La Rioja,2026-07-25,198,3,,10,13,BTT,Ezcaray,Epic Gravel Ezcaray,,,,13,23
,,,,,,,,,,,,204,La Rioja,2026-07-25,198,,,4,4,E-Bike,Ezcaray,Epic Gravel Ezcaray,,,,4,4
,,,,1,,2,3,,,5,5,196,La Rioja,2026-07-11,196,19,,75,94,KV Valdezcaray,Valdezcaray - Ezcaray,KV Valdezcaray,,,,94,102
,,,,1,,,1,,,,,195,La Rioja,2026-07-11,196,4,,2,6,Prebenjamin - Infantil,Valdezcaray - Ezcaray,KV Valdezcaray,,,,6,7
,,,,10,,14,24,1,,2,3,178,Bizkaia,2026-06-20,178,4,,42,46,Trail Largo,La Quadra - Güeñes,La Quadrako Mendi Lasterketa,,,,46,73
,,,,6,,16,22,,,1,1,179,Bizkaia,2026-06-20,178,19,,56,75,Trail Corto,La Quadra - Güeñes,La Quadrako Mendi Lasterketa,,,,75,98
,,,,9,,57,66,4,,29,33,181,Bizkaia,2026-06-20,181,34,,196,230,Trail Largo,Gamiz-Fika,Burdin Hesiko Mendi Lasterketa,,,,230,329
1,,,1,49,,98,147,1,,6,7,182,Bizkaia,2026-06-20,181,133,,314,447,Trail Corto,Gamiz-Fika,Burdin Hesiko Mendi Lasterketa,,,,447,602
,,,,,,,,,,,,183,Bizkaia,2026-06-20,181,124,,117,241,Martxa,Gamiz-Fika,Burdin Hesiko Mendi Lasterketa,47,36,83,241,324
,,,,3,,27,30,7,,28,35,173,Bizkaia,2026-06-14,173,13,,115,128,Trail Largo,Zierbena,Galipa Mendi Bira,,,,131,193
,,1,1,14,,31,45,16,,26,42,172,Bizkaia,2026-06-14,173,36,,152,188,Trail Corto,Zierbena,Galipa Mendi Bira,,,,189,276
,,,,34,,43,77,26,,31,57,176,Bizkaia,2026-06-14,173,104,,156,260,Martxa Larga,Zierbena,Galipa Mendi Bira,,,,262,394
1,,,1,38,,55,93,5,,5,10,167,Bizkaia,2026-06-06,167,95,,238,333,Adultos 10K,Balmaseda,BALMASEDA RUNNING FEST 10K,,,,334,437
,,,,,,,,,,,,135,Álava,2026-05-31,135,24,,24,48,Entre Viñas,Labastida,Cross Entre Viñas,8,12,20,48,68
,,,,11,,20,31,,,1,1,149,Bizkaia,2026-05-31,149,29,,76,105,Vuelta San Cosme,Gordexola,Vuelta a San Cosme,,,,105,137
,,,,,,,,,,,,138,Bizkaia,2026-05-30,138,11,,62,73,Trail,Santurtzi,KZ Krono,4,11,15,73,88
,,,,,,,,,,,,139,Bizkaia,2026-05-30,138,1,,7,8,BTT,Santurtzi,KZ Krono,,6,6,8,14
,,,,,,,,,,,,140,Bizkaia,2026-05-30,138,21,,40,61,Txikis Running,Santurtzi,KZ Krono,4,2,6,61,67
,,,,,,,,,,,,141,Bizkaia,2026-05-30,138,2,,5,7,Txikis Ciclismo,Santurtzi,KZ Krono,,3,3,7,10
,,1,1,3,,1,4,,,,,159,Álava,2026-05-30,159,33,,45,78,Marcha Larga,Araia,Mitxarro Bira,,,,79,83
,,,,5,,2,7,,,,,160,Álava,2026-05-30,159,66,,37,103,Marcha Corta,Araia,Mitxarro Bira,,,,103,110
1,,,1,1,,8,9,1,,6,7,161,Álava,2026-05-30,159,8,,59,67,Trail Largo,Araia,Mitxarro Bira,,,,69,84
,,,,3,,9,12,,,3,3,162,Álava,2026-05-30,159,49,,109,158,Trail Corto,Araia,Mitxarro Bira,,,,159,173
,,,,9,,11,20,2,,20,22,136,Bizkaia,2026-05-23,136,21,,93,114,50K,Galdakao,Mugarriz Mugarri,,,,123,156
,,,,5,,6,11,,,,,137,Bizkaia,2026-05-23,136,43,,47,90,24K,Galdakao,Mugarriz Mugarri,,,,90,101
,,1,1,,,,,,,,,131,Bizkaia,2026-05-17,131,19,,186,205,Trail Largo,Getxo,Etorki Mendi Trail,9,44,53,206,259
,,,,32,,78,110,1,,2,3,132,Bizkaia,2026-05-17,131,121,,253,374,Trail Corto,Getxo,Etorki Mendi Trail,,,,375,487
,,,,,,,,,,,,126,Bizkaia,2026-05-10,126,25,,23,48,Benjamín,Ugao-Miraballes,Ugao-Miraballes Herri Krosa,1,7,8,48,56
,,,,,,,,,,,,129,Bizkaia,2026-05-10,126,19,,28,47,Aleví­n,Ugao-Miraballes,Ugao-Miraballes Herri Krosa,3,,3,47,50
,,,,,,,,,,,,130,Bizkaia,2026-05-10,126,6,,21,27,Infantil,Ugao-Miraballes,Ugao-Miraballes Herri Krosa,1,3,4,27,31
,,,,,,,,1,,,1,127,Bizkaia,2026-05-10,126,70,,204,274,Mayores,Ugao-Miraballes,Ugao-Miraballes Herri Krosa,30,33,63,275,338
,,,,,,,,1,,,1,122,Bizkaia,2026-04-19,122,25,,132,157,Trail Largo,Güeñes,Lurretza Güeñes Skyrace,4,17,21,157,179
,,,,,,,,1,,,1,123,Bizkaia,2026-04-19,122,20,,76,96,Trail Corto,Güeñes,Lurretza Güeñes Skyrace,5,18,23,96,120
1,,,1,33,,104,137,3,,3,6,125,Álava,2026-04-19,125,294,,601,895,15K,Armentia,Subida a Estibaliz,,,,896,1039
,,,,,,,,,,,,119,La Rioja,2026-04-12,119,,,,,Preuniversitaria,Logroño,Carrera Campus Universidad de La Rioja,1303,812,2115,0,2115
,,,,,,,,,,,,120,La Rioja,2026-04-12,119,,,,,5K,Logroño,Carrera Campus Universidad de La Rioja,161,128,289,0,289
