municipio,provincia,comarca
Areta,Álava,
Ezcaray,La Rioja,
Valdezcaray - Ezcaray,La Rioja,
La Quadra - Güeñes,Bizkaia,
Gamiz-Fika,Bizkaia,
Zierbena,Bizkaia,
Balmaseda,Bizkaia,
Labastida,Álava,Arabako Errioxa
Gordexola,Bizkaia,
Santurtzi,Bizkaia,
Araia,Álava,Arabako lautada
Galdakao,Bizkaia,
Getxo,Bizkaia,
Ugao-Miraballes,Bizkaia,
Güeñes,Bizkaia,
Armentia,Álava,Gasteizko kuadrilla
Logroño,La Rioja,
Ajo,Cantabria,
Bilbao,Bizkaia,
Zaramillo,Bizkaia,
Amurrio,Álava,
Mungia,Bizkaia,
Sodupe,Bizkaia,
Vitoria,Álava,Gasteizko kuadrilla
Muskiz,Bizkaia,
Zalla,Bizkaia,
Vitoria-Gasteiz,Álava,Gasteizko kuadrilla
Artziniega,Álava,
Alcalá la Real,Jaén,
Lemoa,Bizkaia,
Orduña,Bizkaia,
Arrigorriaga-Basauri,Bizkaia,
Galdames,Bizkaia,
Ancín-Antzin,Navarra,Estellerria
Galdeano,Navarra,Estellerria
Pradoluengo,Burgos,
Gorliz,Bizkaia,
Mamariga - Santurtzi,Bizkaia,
Barakaldo,Bizkaia,
El Ribero de Montija,Burgos,
Vitoria - Gasteiz,Álava,Gasteizko kuadrilla
Roa de Duero,Burgos,
Urduliz,Bizkaia,
Ribafrecha,La Rioja,
Madrid,Madrid,
Zeberio,Bizkaia,
Ortuella,Bizkaia,
Portugalete,Bizkaia,
Laudio,Álava,
Berriz,Bizkaia,
Sopuerta,Bizkaia,
Erandio,Bizkaia,
Basauri,Bizkaia,
Azagra,Navarra,Erriberagoiena / Ribera Alta
Quintana - Soba,Cantabria,
Amorebieta Etxano,Bizkaia,
Markina Xemein,Bizkaia,
La Iruela,Jaén,
Cazorla,Jaén,
Burunchel,Jaén,
Arroyo Frio,Jaén,
