municipio,comarca,provincia
Cabanas,,
Vilagarcía de Arousa,,
A Pobra do Caramiñal,,
A Laracha,,
As Pontes,,
Santiago de Compostela,,
Laxe,Bergantiños,Galicia
Ordes - Oroso,Ordes,Galicia
Ribeira,A Barbanza,Galicia
Esgos,Ourense,Ourense
Bergondo,A Coruña,Galicia
Valdoviño,Ferrol,Galicia
Ponteceso,Bergantiños,Galicia
Carballo,Bergantiños,Galicia
Cangas,Terra de Lemos,Lugo
Silleda,O Deza,Galicia
Moeche,Ferrol,Galicia
Ferrol,Ferrol,Galicia
Poio,Pontevedra,Galicia
Xinzo de Limia,A Limia,Ourense
Ordes,Ordes,Galicia
A Coruña,A Coruña,Galicia
Portas,Caldas,Galicia
Curtis,Betanzos,Galicia
Cuntis,Caldas,Galicia
Cerceda,Ordes,Galicia
A Baña,A Barcala,Galicia
Moaña,Morrazo,Galicia
Redondela,Vigo,Galicia
Toques,Terra de Melide,Galicia
Oroso,Ordes,Galicia
Caldas de Reis,Caldas,Galicia
Ames - Ponte Maceira,,
Narón,Ferrol,Galicia
Melide - Arzúa,Arzúa,Galicia
Barbadás,Ourense,Ourense
Meaño,O Salnés,Galicia
Marín,Morrazo,Galicia
Ribadavia,O Ribeiro,Ourense
Ribadeo,A Mariña Oriental,Lugo
Ferrol - Cabanas,,
Castro de Rei,Terra Chá,Lugo
A Rúa,Valdeorras,Ourense
Castrelo de Miño,O Ribeiro,Ourense
Neda,Ferrol,Galicia
Vigo,Vigo,Galicia
Ourense,,Ourense
Ares - Mugardos,Ferrol,Galicia
Ames,Santiago,Galicia
Lousame,Noia,Galicia
Fene,Ferrol,Galicia
Pontevedra ,Pontevedra,Galicia
O Pino,Arzúa,Galicia
San Cibrao da Viñas,Ourense,Ourense
San Miguel de Oia,Vigo,Galicia
" Neda, Fene, Narón e Ferrol",,
Vilamartín de Valdeorras,Valdeorras,Ourense
Mondariz Balneario,O Condado,Galicia
O Pereiro de Aguiar,Ourense,Ourense
O Barco de Valdeorras,Valdeorras,Ourense
Moraña,Caldas,Galicia
Bueu - Moaña,,
Nigrán,Vigo,Galicia
Lestrobe - Dodro,O Sar,Galicia
O Mosteiro - Meis,O Salnés,Galicia
Brión,Santiago,Galicia
Ordes - Cerceda,Ordes,Galicia
O Grove,O Salnés,Galicia
Touro,Arzúa,Galicia
Ponte Caldelas,Pontevedra,Galicia
Mugardos,Ferrol,Galicia
Lourenzá,A Mariña Central,Lugo
Folgoso do Courel,Quiroga,Lugo
Negreira,A Barcala,Galicia
Sobrado,Terra de Melide,Galicia
Ares,Ferrol,Galicia
Vilaño (A Laracha),Bergantiños,Galicia
Cervás (Ares),Ferrol,Galicia
Chantada - Sober,,
A Guarda,O Baixo Miño,Galicia
A Castellana (Aranga),Betanzos,Galicia
Trazo,Ordes,Galicia
Galicia,Santiago,Galicia
Mugardos - Ares,Ferrol,Galicia
Castro Caldelas,Terra de Caldelas,Ourense
"Narón, Fene e Ferrol e Neda",,
 O Pereiro de Aguiar,Ourense,Ourense
Miño,Betanzos,Galicia
Mañón,Ortegal,Galicia
Oroso - Ordes,Ordes,Galicia
Xermade,Terra Chá,Lugo
Baña,A Barcala,Galicia
Malpica,Lugo,Lugo
A Pastoriza,O Sar,Galicia
Muras,Terra Chá,Lugo
Sigüeiro - Oroso,Ordes,Galicia
Cospeito,Terra Chá,Lugo
Ponte Maceira (Ames),Santiago,Galicia
Muros,Muros,Galicia
Loureiro - San Miguel de Oia	,Vigo,Galicia
"Narón, Neda, Fene e Ferrol",,
Pereiro de Aguiar,Ourense,Ourense
Arbo,A Paradanta,Galicia
Mondego - Sada,A Coruña,Galicia
Cangas de Foz,A Mariña Central,Lugo
Tordoia,Ordes,Galicia
Cambre,A Coruña,Galicia
Lalín,O Deza,Galicia
Culleredo,A Coruña,Galicia
Zas,Terra de Soneira,Galicia
Prueba,,
A Pontenova,A Mariña Oriental,Lugo
Campionato,,
San Cibrao das Viñas,Ourense,Ourense
Vilamartín  de Valdeorras,Valdeorras,Ourense
Pontevedra,Pontevedra,Galicia
"Cangas do Morrazo, Bueu e Moaña",,
O Corgo,Lugo,Lugo
Monforte de Lemos,Terra de Lemos,Lugo
Baralla - O Corgo,,
Corme Porto (Ponteceso),Bergantiños,Galicia
Frades,Ordes,Galicia
Varios On Line,,
Betanzos,Betanzos,Galicia
Monterroso,A Ulloa,Lugo
Loureiro - San Miguel de Oia,Vigo,Galicia
Virtual,,
Carballiño - Santiago,Santiago,Galicia
Varios,,
Casaio,Valdeorras,Ourense
As Pontes de García Rodríguez,O Eume,Galicia
Lugo,,Lugo
San Miguel de Oia - Vigo,Vigo,Galicia
Xinzo de Limia - Sandiás,A Limia,Ourense
Porriño,Vigo,Galicia
Portomarín,Lugo,Lugo
Lestrobe (Dodro),O Sar,Galicia
Cambre - Culleredo,,
O Val (Narón),Ferrol,Galicia
Guntín,Lugo,Lugo
A Veiga,Valdeorras,Ourense
Sante - Trabada,A Mariña Oriental,Lugo
Ortigueira - Cariño,Ortegal,Galicia
Bueu,Morrazo,Galicia
Gondomar,Vigo,Galicia
Sigüeiro,Ordes,Galicia
