nombre_carrera,municipio,comarca,provincia
"""200 CRESTAS"" DESAFÍO COUREL 2016",,,
"""I TRAIL 175º ANIVERSARIO GUARDIA CIVIL"" A BENEFICIO DE LA FUNDACIÓN PADRE RUBINOS",A Coruña,A Coruña,Galicia
#MarzoSaudeSolidario 2015,,,
'CLÁSICA' DESAFÍO COUREL 2016,,,
+10 MARIN MANOLO ROSALES. GRAN PREMIO ENCE 2012,,,
+10MARIN MANUEL ROSALES - GRAN PREMIO ENCE 2014,Huelva,Comarca Metropolitana de Huelva,Huelva
+8K SAN XOAN POIO - GRAN PREMIO C. C. A BARCA 2014,Alacant / Alicante,l'Alacantí,Comunitat Valenciana
10 KILÓMETROS SOLIDARIOS CIUDAD DE PONFERRADA,Ponferrada,El Bierzo,León
10 KM CIDADE UNIVERSITARIA 2014. VIGO (CUVI),Madrid,,Comunidad de Madrid
10 KM LEON CUNA DEL PARLAMENTARISMO,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2022,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2023,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2024,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2025,,,
10 MARIN MANUEL ROSALES 2013,,,
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,,,
10K CARBALLO. VI Carreira Popular Concello de Carballo,,,
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,,,
10K CARBALLO. VIII Carreira Popular 10Km Concello de Carballo 2018,,,
10K DE FENE,,,
10K NOCTURNOS SOLIDARIOS PROYECTO HOMBRE “Ciudad de Ponferrada”,,,
10K PARQUE A CANUDA SALVATERRA DE MIÑO E ANDAINA DO RÍO,,,
10K SOLIDARIOS PROYECTO HOMBRE CIUDAD DE PONFERRADA 2018,,,
10K UNICEF LISBOA,,,
10KM CARBALLO,Ames,Santiago,Galicia
10KM RUTA DE LA CONSTRUCCION NAVAL FERROL 2013,Ferrol,Ferrol,Galicia
10KM VIRGEN DEL CAMINO;Homenaje a Antonino Baños,,,
10k NO CORAZON CHANTADA,,,
10ª TRAVESÍA A NADO VILA DE BAIONA,Baiona,Vigo,Galicia
10ª VIGO + 11 CARREIRA POPULAR “Trofeo El Corte Inglés”,Pamplona / Iruña,Iruñerria,Navarra
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA SANXENXO 2016,,,
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA Y OLÍMPICO NO DRAFT SANXENXO 2017,,,
11º TRAIL TERRAS DO MANDEO,Teixeiro,Betanzos,Galicia
12 CARREIRA POPULAR VIGO + 11,Ávila,,Ávila
12 HORAS BTT CARBALLO 2018,,,
12 HORAS BTT CARBALLO 2019,,,
12ª SUBIDA AO CASTRO 2018,O Porriño,Vigo,Galicia
13 CARREIRA POPULAR VIGO + 11,Ávila,,Ávila
13 CROSS POPULAR/CANICROSS CONCELLO BOBORAS,,,
