nombre_carrera,fecha,categoria,url_base,paginas_leidas,n_masculino,n_femenino,n_desconocido,n_total,n_filas_unicas,n_filas_sin_codigo
XLII TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,02 ago. 2026,PERCORRIDO B (2014 e anteriores),https://ccnorte.com/resultados/xlii-travesia-a-nado-do-porto-de-vilagarcia/percorrido-b-2014-e-anteriores/1,3,35,22,0,57,57,0
XLII TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,02 ago. 2026,PERCORRIDO A (2012 e anteriores),https://ccnorte.com/resultados/xlii-travesia-a-nado-do-porto-de-vilagarcia/percorrido-a-2012-e-anteriores/1,4,64,27,0,91,91,0
XLII TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,02 ago. 2026,PERCORRIDO C (2015 e posteriores),https://ccnorte.com/resultados/xlii-travesia-a-nado-do-porto-de-vilagarcia/percorrido-c-2015-e-posteriores/1,1,8,6,0,14,14,0
XXXI CARREIRA A PÉ - LIRA,01 ago. 2026,3.5K CADETE (2010-2011),https://ccnorte.com/resultados/xxx-carreira-a-pe-lira-/3k-cadete-2010-2011/1,1,3,4,0,7,7,0
LXVIII DESCENSO A NADO DE LA RIA DE NAVIA,02 ago. 2026,Recorrido 5000m Femenino (2012 y anteriores),https://ccnorte.com/resultados/lxviii-descenso-a-nado-de-la-ria-de-navia/recorrido-5000m-femenino-2012-y-anteriores/1,6,0,139,0,139,139,0
XXXI CARREIRA A PÉ - LIRA,01 ago. 2026,CATIVOS II (2012-2015),https://ccnorte.com/resultados/xxx-carreira-a-pe-lira-/cativos-ii-2012-2015/1,2,25,6,0,31,31,0
XXXI CARREIRA A PÉ - LIRA,01 ago. 2026,"3,5K (2009 e anteriores)",https://ccnorte.com/resultados/xxx-carreira-a-pe-lira-/3k-absoluta-2009-e-anteriores/1,2,33,15,0,48,48,0
LXVIII DESCENSO A NADO DE LA RIA DE NAVIA,02 ago. 2026,Recorrido 1100m (Todas las edades),https://ccnorte.com/resultados/lxviii-descenso-a-nado-de-la-ria-de-navia/recorrido-1100m-todas-las-edades/1,10,129,119,0,248,247,0
XXVII COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,01 ago. 2026,Individual Femenina (2012 y anteriores),https://ccnorte.com/resultados/xxvii-copa-asturias-de-natacion-de-aguas-abiertas/individual-femenina-2012-y-anteriores/1,2,0,41,0,41,41,0
XXVII COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,01 ago. 2026,Individual Masculina (2012 y anteriores),https://ccnorte.com/resultados/xxvii-copa-asturias-de-natacion-de-aguas-abiertas/individual-masculina-2012-y-anteriores/1,4,88,0,0,88,88,0
XXVII COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,01 ago. 2026,Relevos por equipos mixtos,https://ccnorte.com/resultados/xxvii-copa-asturias-de-natacion-de-aguas-abiertas/relevos-por-equipos-mixtos/1,1,0,0,23,23,23,0
LXVIII DESCENSO A NADO DE LA RIA DE NAVIA,02 ago. 2026,Recorrido 2400m (2012 y anteriores),https://ccnorte.com/resultados/lxviii-descenso-a-nado-de-la-ria-de-navia/recorrido-2400m-2012-y-anteriores/1,12,164,135,0,299,299,0
LXVIII DESCENSO A NADO DE LA RIA DE NAVIA,02 ago. 2026,Recorrido 5000m Masculino (2012 y anteriores),https://ccnorte.com/resultados/lxviii-descenso-a-nado-de-la-ria-de-navia/recorrido-5000m-masculino-2012-y-anteriores/1,12,291,0,0,291,291,0
XXXI CARREIRA A PÉ - LIRA,01 ago. 2026,"8,5k (2009 e anteriores)",https://ccnorte.com/resultados/xxx-carreira-a-pe-lira-/8-5k-absoluta/1,6,99,27,0,126,126,0
LIV TRAVESIA AL DIQUE,25 jul. 2026,3500m FEMENINA,https://ccnorte.com/resultados/liv-travesia-al-dique/3500m-2009-2012/1,2,0,40,0,40,40,0
XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,19 jul. 2026,INFANTIL/CADETE (2011-2014),https://ccnorte.com/resultados/xvii-carreira-pedestre-popular-concello-de-boimorto/infantil-cadete-2011-2014/1,1,5,1,0,6,6,0
XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,19 jul. 2026,BENXAMIN/ALEVIN (2015-2018),https://ccnorte.com/resultados/xvii-carreira-pedestre-popular-concello-de-boimorto/benxamin-alevin-2015-2018/1,1,6,5,0,11,11,0
