nombre_carrera,fecha,categoria,n_masculino,n_femenino,n_desconocido,n_total,categoria_genero
"""200 CRESTAS"" DESAFÍO COUREL 2016",2016-03-19,92 KM (Desnivel positivo: 3.702 metros - Desnivel negativo: 3.704 metros),201,2,0,203,mixto
"""I TRAIL 175º ANIVERSARIO GUARDIA CIVIL"" A BENEFICIO DE LA FUNDACIÓN PADRE RUBINOS",2019-05-12,TRAIL,159,33,0,192,mixto
#MarzoSaudeSolidario 2015,2015-05-10,CARRERA CATEGORIA A (2006-2008),8,4,0,12,mixto
#MarzoSaudeSolidario 2015,2015-05-10,CARRERA CATEGORIA B (2003-2005),4,10,0,14,mixto
#MarzoSaudeSolidario 2015,2015-05-10,CARRERA CATEGORIA C (2000-2002),7,5,0,12,mixto
#MarzoSaudeSolidario 2015,2015-05-10,CARRERA POPULAR,49,22,0,71,mixto
#MarzoSaudeSolidario 2015,2015-05-10,TRAIL,37,6,0,43,mixto
'CLÁSICA' DESAFÍO COUREL 2016,2016-09-24,98 KM (Desnivel positivo: 4.101 metros - Desnivel negativo: 4.103 metros),115,4,0,119,mixto
+10 MARIN MANOLO ROSALES. GRAN PREMIO ENCE 2012,2012-08-03,Adultos. Distancia: 10000 m,0,0,0,0,mixto
+10MARIN MANUEL ROSALES - GRAN PREMIO ENCE 2014,2014-08-01,PROBA ABSOLUTA. DISTANCIA: 10000 M,0,0,0,0,mixto
+8K SAN XOAN POIO - GRAN PREMIO C. C. A BARCA 2014,2014-06-21,PROBA ABSOLUTA. DISTANCIA: 8000 M,0,0,0,0,mixto
10 KILÓMETROS SOLIDARIOS CIUDAD DE PONFERRADA,2014-10-25,10 KILÓMETROS SOLIDARIOS PROYECTO HOMBRE. DISTANCIA: 10000 M,0,0,0,0,mixto
10 KM CIDADE UNIVERSITARIA 2014. VIGO (CUVI),2014-04-27,PROBA ABSOLUTA. DISTANCIA: 10000 M,0,0,0,0,mixto
10 KM LEON CUNA DEL PARLAMENTARISMO,2019-10-20,10 KM (2000 Y ANTERIORES),600,178,0,778,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2022,2022-10-16,10KM (2004 y anteriores),544,126,0,670,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2022,2022-10-16,2KM PROMOCION (2005-2010),20,13,0,33,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2023,2023-10-22,10Km (2005 y anteriores),484,128,0,612,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2023,2023-10-22,PEQUE LEON (2006-2013),29,31,0,60,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2024,2024-10-20,10Km (2006 y anteriores),648,215,0,863,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2024,2024-10-20,PEQUE LEON (2007-2014),38,29,0,67,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2025,2025-10-19,10Km (2007 y anteriores),767,308,0,1075,mixto
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2025,2025-10-19,PEQUE LEON (2008-2015),31,38,0,69,mixto
10 MARIN MANUEL ROSALES 2013,2013-08-02,ADULTOS. DISTANCIA: 10000 M,0,0,0,0,mixto
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,2019-06-16,BENXAMIN/SUB10 (2010-2011),65,45,0,110,mixto
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,2019-06-16,CARREIRA ABSOLUTA (2001 E ANOS ANTERIORES),442,98,0,540,mixto
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,2019-06-16,CARREIRA ADAPTADA (CADEIRA DE RODAS OU HANDBIKE),1,0,0,1,mixto
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,2019-06-16,"INFANTIL/SUB14, ALEVIN/SUB12 (2006 A 2009)",51,50,0,101,mixto
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,2019-06-16,"XUVENIL/SUB18, CADETE/SUB16 (2002 A 2005)",13,8,0,21,mixto
10K CARBALLO. VI Carreira Popular Concello de Carballo,2016-06-19,ABSOLUTA EN VEHICULO ADAPATADO,3,0,0,3,mixto
10K CARBALLO. VI Carreira Popular Concello de Carballo,2016-06-19,CARREIRA ABSOLUTA (1998 E ANOS ANTERIORES),743,167,0,910,mixto
10K CARBALLO. VI Carreira Popular Concello de Carballo,2016-06-19,"CARREIRA INFANTIL,ALEVIN (2003 ATA O 2006)",47,42,0,89,mixto
10K CARBALLO. VI Carreira Popular Concello de Carballo,2016-06-19,"CARREIRA XUVENIL, CADETE (1999 ATA 2002)",26,5,0,31,mixto
10K CARBALLO. VI Carreira Popular Concello de Carballo,2016-06-19,EQUIPOS 10K CARBALLO (MÍNIMO 5 COMPOÑENTES),0,0,0,0,mixto
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,2017-06-18,ABSOLUTA (1999 E ANOS ANTERIORES),583,105,0,688,mixto
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,2017-06-18,ABSOLUTA ADAPTADA EN HANDBIKE OU CADEIRA DE RODAS,1,0,0,1,mixto
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,2017-06-18,"BENXAMIN (2008,2009)",42,35,0,77,mixto
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,2017-06-18,"INFANTIL (2004,2005), ALEVIN (2006,2007)",47,40,0,87,mixto
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,2017-06-18,"XUVENIL (2000,2001), CADETE (2002,2003)",29,4,0,33,mixto
10K CARBALLO. VIII Carreira Popular 10Km Concello de Carballo 2018,2018-06-17,BENXAMIN/SUB10 (2009-2010),38,34,0,72,mixto
10K CARBALLO. VIII Carreira Popular 10Km Concello de Carballo 2018,2018-06-17,CARREIRA ABSOLUTA (2000 E ANOS ANTERIORES),497,83,0,580,mixto
10K CARBALLO. VIII Carreira Popular 10Km Concello de Carballo 2018,2018-06-17,"INFANTIL/SUB14, ALEVIN/SUB12 (2005 A 2008)",49,55,0,104,mixto
10K CARBALLO. VIII Carreira Popular 10Km Concello de Carballo 2018,2018-06-17,"XUVENIL/SUB18, CADETE/SUB16 (2001 A 2004)",13,7,0,20,mixto
10K DE FENE,2014-10-11,PROBA ABSOLUTA. DISTANCIA: 10000 M,0,0,0,0,mixto
10K NOCTURNOS SOLIDARIOS PROYECTO HOMBRE “Ciudad de Ponferrada”,2019-10-12,CARRERA ABSOLUTA (A PARTIR DE 16 AÑOS),98,16,0,114,mixto
10K PARQUE A CANUDA SALVATERRA DE MIÑO E ANDAINA DO RÍO,2015-02-15,10 k,487,84,0,571,mixto
10K SOLIDARIOS PROYECTO HOMBRE CIUDAD DE PONFERRADA 2018,2018-10-27,CARRERA ABSOLUTA (A PARTIR DE 16 AÑOS),137,36,0,173,mixto
10K UNICEF LISBOA,2014-07-06,10000 M,0,0,0,0,mixto
10KM CARBALLO,2015-06-21,ADULTOS 10 KM,706,120,0,826,mixto
10KM CARBALLO,2015-06-21,EQUIPOS 10K CARBALLO,0,0,0,0,mixto
10KM CARBALLO,2015-06-21,INFANTIL - ALEVIN (2002 - 2005),40,42,0,82,mixto
10KM CARBALLO,2015-06-21,XUVENIL -CADETE (1998 - 2001),27,8,0,35,mixto
10KM RUTA DE LA CONSTRUCCION NAVAL FERROL 2013,2013-06-23,ADULTOS. DISTANCIA: 10000 M,0,0,0,0,mixto
10KM VIRGEN DEL CAMINO;Homenaje a Antonino Baños,2013-03-03,ADULTOS. DISTANCIA: 10000 M,0,0,0,0,mixto
10k NO CORAZON CHANTADA,2024-05-18,10Km (2008 e anteriores),66,14,0,80,mixto
10k NO CORAZON CHANTADA,2024-05-18,5Km (2008 e anteriores),26,29,0,55,mixto
10k NO CORAZON CHANTADA,2024-05-18,SUB14 (2011-2012)-SUB16 (2009-2010),11,8,0,19,mixto
10ª TRAVESÍA A NADO VILA DE BAIONA,2019-07-06,ADULTOS E VETERANOS (2002 E ANT.),139,34,0,173,mixto
10ª TRAVESÍA A NADO VILA DE BAIONA,2019-07-06,SUB 12 (2007-2011),25,29,0,54,mixto
10ª TRAVESÍA A NADO VILA DE BAIONA,2019-07-06,SUB 16 (2003-2006),10,11,0,21,mixto
10ª VIGO + 11 CARREIRA POPULAR “Trofeo El Corte Inglés”,2016-10-16,ABSOLUTA (1998 E ANT.),537,103,0,640,mixto
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA SANXENXO 2016,2016-05-08,ABSOLUTA,79,7,0,86,mixto
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA Y OLÍMPICO NO DRAFT SANXENXO 2017,2017-05-21,MEDIA DISTANCIA,91,3,0,94,mixto
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA Y OLÍMPICO NO DRAFT SANXENXO 2017,2017-05-21,OLÍMPICO NO DRAFT,75,10,0,85,mixto
11º TRAIL TERRAS DO MANDEO,2025-01-12,TRAIL CORTO,169,69,0,238,mixto
11º TRAIL TERRAS DO MANDEO,2025-01-12,TRAIL LARGO,80,14,0,94,mixto
12 CARREIRA POPULAR VIGO + 11,2018-11-11,ABSOLUTA (2001 Y AÑOS ANT.),477,93,0,570,mixto
12 CARREIRA POPULAR VIGO + 11,2018-11-11,ABSOLUTA (RUNRUNVIGO),474,92,0,566,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,EQUIPOS DE 2 MASCULINOS,0,0,0,0,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,EQUIPOS DE 2 MIXTOS (1 HOMBRE Y 1 MUJER),0,0,0,0,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,EQUIPOS DE 3 MASCULINOS,0,0,0,0,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,EQUIPOS DE 4 FEMENINOS,0,0,0,0,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,EQUIPOS DE 4 MASCULINOS,0,0,0,0,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,EQUIPOS DE 4 MIXTOS (2 HOMBRES Y 2 MUJERES),0,0,0,0,mixto
12 HORAS BTT CARBALLO 2018,2018-07-21,INDIVIDUAL (18 A 75 AÑOS),0,0,0,0,mixto
