nombre_carrera,candidato_lugar,ubicacion,lat,lon
LIV TRAVESIA AL DIQUE,AL DIQUE,"Muelle Adosado al Dique de Abrigo, Puerto de Algeciras, Algeciras, Campo de Gibraltar, Cádiz, Andalucía, 11201, España",36.1355329,-5.4300544
LXVIII DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
XLII TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,VILAGARCÍA,"Vilagarcía, Vilagarcía de Arousa, O Salnés, Pontevedra, Galicia, 36600, España",42.5947625,-8.7669178
XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,BOIMORTO,"Boimorto, Arzúa, A Coruña, Galicia, España",43.012561,-8.1387648
XXVII COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,AGUAS ABIERTAS,,,
XXXI CARREIRA A PÉ - LIRA,A PÉ - LIRA,,,
"""200 CRESTAS"" DESAFÍO COUREL 2016","""200 CRESTAS"" DESAFÍO COUREL",,,
"""I TRAIL 175º ANIVERSARIO GUARDIA CIVIL"" A BENEFICIO DE LA FUNDACIÓN PADRE RUBINOS",LA FUNDACIÓN PADRE RUBINOS,,,
#MarzoSaudeSolidario 2015,#MarzoSaudeSolidario,,,
'CLÁSICA' DESAFÍO COUREL 2016,'CLÁSICA' DESAFÍO COUREL,,,
+10 MARIN MANOLO ROSALES. GRAN PREMIO ENCE 2012,+10 MARIN MANOLO ROSALES. ENCE,,,
+10MARIN MANUEL ROSALES - GRAN PREMIO ENCE 2014,+10MARIN MANUEL ROSALES - ENCE,,,
+8K SAN XOAN POIO - GRAN PREMIO C. C. A BARCA 2014,+8K SAN XOAN POIO - C. C. A BARCA,,,
10 KILÓMETROS SOLIDARIOS CIUDAD DE PONFERRADA,PONFERRADA,"Ponferrada, El Bierzo, León, Castilla y León, España",42.4984436,-6.5663176
10 KM CIDADE UNIVERSITARIA 2014. VIGO (CUVI),KM UNIVERSITARIA,"Ciudad Universitaria, Moncloa-Aravaca, Madrid, Comunidad de Madrid, 28040, España",40.4571763,-3.7360211
10 KM LEON CUNA DEL PARLAMENTARISMO,KM LEON CUNA DEL PARLAMENTARISMO,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2022,KM LEÓN CUNA DEL PARLAMENTARISMO,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2023,KM LEÓN CUNA DEL PARLAMENTARISMO,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2024,KM LEÓN CUNA DEL PARLAMENTARISMO,,,
10 KM LEÓN CUNA DEL PARLAMENTARISMO 2025,KM LEÓN CUNA DEL PARLAMENTARISMO,,,
10 MARIN MANUEL ROSALES 2013,MARIN MANUEL ROSALES,,,
10K CARBALLO. IX Carreira Popular 10Km Concello de Carballo 2019,Carballo,"Carballo, Bergantiños, A Coruña, Galicia, España",43.2086195,-8.6668237
10K CARBALLO. VI Carreira Popular Concello de Carballo,Carballo,"Carballo, Bergantiños, A Coruña, Galicia, España",43.2086195,-8.6668237
10K CARBALLO. VII Carreira Popular 10Km Concello de Carballo 2017,Carballo,"Carballo, Bergantiños, A Coruña, Galicia, España",43.2086195,-8.6668237
10K CARBALLO. VIII Carreira Popular 10Km Concello de Carballo 2018,Carballo,"Carballo, Bergantiños, A Coruña, Galicia, España",43.2086195,-8.6668237
10K DE FENE,FENE,"Fene, Ferrol, A Coruña, Galicia, España",43.4553867,-8.1671134
10K NOCTURNOS SOLIDARIOS PROYECTO HOMBRE “Ciudad de Ponferrada”,Ponferrada”,"Ponferrada, El Bierzo, León, Castilla y León, España",42.4984436,-6.5663176
10K PARQUE A CANUDA SALVATERRA DE MIÑO E ANDAINA DO RÍO,RÍO,"Río, Vilamarín, Ourense, Galicia, España",42.4879498,-7.8758195
10K SOLIDARIOS PROYECTO HOMBRE CIUDAD DE PONFERRADA 2018,PONFERRADA,"Ponferrada, El Bierzo, León, Castilla y León, España",42.4984436,-6.5663176
10K UNICEF LISBOA,10K UNICEF LISBOA,,,
10KM CARBALLO,10KM CARBALLO,"Carballo, Trasmonte, Ames, Santiago, A Coruña, Galicia, 15864, España",42.8921242,-8.6736
10KM RUTA DE LA CONSTRUCCION NAVAL FERROL 2013,LA CONSTRUCCION NAVAL FERROL,,,
10KM VIRGEN DEL CAMINO;Homenaje a Antonino Baños,10KM VIRGEN DEL CAMINO;Homenaje a Antonino Baños,,,
10k NO CORAZON CHANTADA,10k NO CORAZON CHANTADA,,,
10ª TRAVESÍA A NADO VILA DE BAIONA,BAIONA,"Baiona, Vigo, Pontevedra, Galicia, España",42.0881275,-8.8485132
10ª VIGO + 11 CARREIRA POPULAR “Trofeo El Corte Inglés”,VIGO + 11 “Trofeo El Corte Inglés”,,,
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA SANXENXO 2016,SWIM RIDE MEDIA DISTANCIA SANXENXO,,,
113 SWIM RIDE RUN. TRIATLON MEDIA DISTANCIA Y OLÍMPICO NO DRAFT SANXENXO 2017,SWIM RIDE MEDIA DISTANCIA Y OLÍMPICO NO DRAFT SANXENXO,,,
11º TRAIL TERRAS DO MANDEO,MANDEO,"Mandeo, Foxado, Teixeiro, Curtis, Betanzos, A Coruña, Galicia, 15310, España",43.133095,-8.0116691
12 CARREIRA POPULAR VIGO + 11,VIGO + 11,"11, Calle del Capitán Méndez Vigo, Ávila, Castilla y León, 05003, España",40.6527356,-4.6907585
12 HORAS BTT CARBALLO 2018,HORAS CARBALLO,,,
12 HORAS BTT CARBALLO 2019,HORAS CARBALLO,,,
12ª SUBIDA AO CASTRO 2018,AO CASTRO,"Camiño do Outeiro ao Castro, O Castro, O Outeiro, Atios, O Porriño, Vigo, Pontevedra, Galicia, 36411, España",42.1429524,-8.6065375
13 CARREIRA POPULAR VIGO + 11,VIGO + 11,"11, Calle del Capitán Méndez Vigo, Ávila, Castilla y León, 05003, España",40.6527356,-4.6907585
13 CROSS POPULAR/CANICROSS CONCELLO BOBORAS,POPULAR/CANICROSS BOBORAS,,,
13º SUBIDA AO CASTRO,AO CASTRO,"Camiño do Outeiro ao Castro, O Castro, O Outeiro, Atios, O Porriño, Vigo, Pontevedra, Galicia, 36411, España",42.1429524,-8.6065375
14 TRAVESIA DE NATACION SAN PEDRO,NATACION SAN PEDRO,,,
14º SUBIDA AO CASTRO,AO CASTRO,"Camiño do Outeiro ao Castro, O Castro, O Outeiro, Atios, O Porriño, Vigo, Pontevedra, Galicia, 36411, España",42.1429524,-8.6065375
14º TREITOIR@DA 2017,TREITOIR@DA 2017,,,
15K A MARIÑA BANCO MEDIOLANUM,15K A MARIÑA BANCO MEDIOLANUM,,,
15K A MARIÑA BANCO MEDIOLANUM (BURELA-FOZ),15K A MARIÑA BANCO MEDIOLANUM,,,
15K A MARIÑA BANCO MEDIOLANUM (FOZ - BURELA),15K A MARIÑA BANCO MEDIOLANUM,,,
15K Arousa Norte Banco Mediolanum,15K Arousa Norte Banco Mediolanum,,,
15K DEL ATLANTICO BANCO MEDIOLANUM,15K DEL ATLANTICO BANCO MEDIOLANUM,,,
15K DEL ATLÁNTICO BANCO MEDIOLANUM,15K DEL ATLÁNTICO BANCO MEDIOLANUM,,,
15K DEL ATLÁNTICO BANCO MEDIOLANUM 2016,15K DEL ATLÁNTICO BANCO MEDIOLANUM,,,
15K DEL ATLÁNTICO BANCO MEDIOLANUM 2017,15K DEL ATLÁNTICO BANCO MEDIOLANUM,,,
15K DEL ATLÁNTICO BANCO MEDIOLANUM 2018,15K DEL ATLÁNTICO BANCO MEDIOLANUM,,,
15K NOCTURNA DE O BARCO (V D3SAFÍO42 OURENSE),O BARCO,"O Barco de Valdeorras, Valdeorras, Ourense, Galicia, España",42.4301028,-6.9801028
15K NOCTURNA DE OURENSE BANCO MEDIOLANUM 2018,OURENSE BANCO MEDIOLANUM,,,
15K Ourense Termal Banco Mediolanum (IV D3SAFIO42),15K Ourense Termal Banco Mediolanum,,,
15ª TRAVESÍA DE SAN PEDRO - GIJÓN,SAN PEDRO - GIJÓN,"San Pedro, Carretera Gijón a Puerto de Sevilla, La Vega San Pedro, Lloreo, Mieres, Asturias / Asturies, 33660, España",43.270106,-5.8327677
15º TREITOIR@DA 2018,TREITOIR@DA 2018,,,
16ª TRAVESÍA DE SAN PEDRO (GIJÓN),SAN PEDRO,"San Pedro, Albacete, Castilla-La Mancha, 02326, España",38.8267126,-2.1860141
17ª TRAVESÍA DE SAN PEDRO (GIJÓN),SAN PEDRO,"San Pedro, Albacete, Castilla-La Mancha, 02326, España",38.8267126,-2.1860141
18 MEDIA MARATON DE VIGO,VIGO,"Vigo, Pontevedra, Galicia, España",42.1986395,-8.727956
18ª TRAVESÍA DE SAN PEDRO (GIJÓN),SAN PEDRO,"San Pedro, Albacete, Castilla-La Mancha, 02326, España",38.8267126,-2.1860141
19 MEDIA MARATON DE VIGO,VIGO,"Vigo, Pontevedra, Galicia, España",42.1986395,-8.727956
1ª CARREIRA POPULAR CONCELLO DE FISTERRA 2014 10K,FISTERRA,"Fisterra, A Coruña, Galicia, España",42.9286659,-9.2626624
1ª CARREIRA POPULAR CONCELLO DE FISTERRA 2014 5K,FISTERRA,"Fisterra, A Coruña, Galicia, España",42.9286659,-9.2626624
1ª CARREIRA POPULAR CONCELLO DE FISTERRA 2014 MENORES,FISTERRA,"Fisterra, A Coruña, Galicia, España",42.9286659,-9.2626624
1ª CARRERA POPULAR VIA VERDE DO EO (HOMENAXE TITO MARGARIDE),EO,"Estrecho de Gibraltar / Détroit de Gibraltar / مضيق جبل طارق, España",35.9496629,-5.6366664
