Nom_Cursa,Data,Modalitat,Distancia_Subcursa,Finishers_Homes,Finishers_Dones,URL_Resultats,Total_Finishers
EWR WINTER EDITION TERRASSA,31/01/2021,trail,EWR Winter Edition,0,0,https://xipgroc.cat/ca/curses/EWRWinter2020/ewr-winter-edition/resultats,0
10A CURSA DE CAP D’ANY DE SABADELL - VIRTUAL,31/01/2021,running,5-10K,0,0,https://xipgroc.cat/ca/curses/capdany2020/5-10k/resultats,0
TEST CRONOMETRAT 5K,21/02/2021,running-pista.,Sèries,103,25,https://xipgroc.cat/ca/curses/Marbella_5K_01/series/resultats,128
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,10K,18,3,https://xipgroc.cat/ca/curses/Ultrarunning2021/10k/resultats,21
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,20K,18,3,https://xipgroc.cat/ca/curses/Ultrarunning2021/20k/resultats,21
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,30K,18,3,https://xipgroc.cat/ca/curses/Ultrarunning2021/30k/resultats,21
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,40K,16,2,https://xipgroc.cat/ca/curses/Ultrarunning2021/40k/resultats,18
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,50K,16,2,https://xipgroc.cat/ca/curses/Ultrarunning2021/50k/resultats,18
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,100K,12,1,https://xipgroc.cat/ca/curses/Ultrarunning2021/100k/resultats,13
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,80K,10,2,https://xipgroc.cat/ca/curses/Ultrarunning2021/80k/resultats,12
ULTRARUNNING BARCELONA,13/03/2021,running-pista.,150K,1,0,https://xipgroc.cat/ca/curses/Ultrarunning2021/150k/resultats,1
TEST CRONOMETRAT 5K,28/03/2021,running-pista.,Sèries,30,0,https://xipgroc.cat/ca/curses/Marbella_5K_02/series/resultats,30
TEST CRONOMETRAT 5K,28/03/2021,running-pista.,Relleus,7,1,https://xipgroc.cat/ca/curses/Marbella_5K_02/relleus/resultats,8
