nombre_carrera,candidato_lugar,municipio,comarca,provincia,lat,lon
TRAIL DE LLORET DE MAR,LLORET DE MAR,Lloret de Mar,,Girona,41.6973503,2.8392392
XIV CROS ESCOLAR DE NOU BARRIS 2021,NOU BARRIS,Barcelona,,Barcelona,41.4458153,2.1798006
24A MILLA URBANA DE RIPOLLET,RIPOLLET,Ripollet,,Barcelona,41.4993372,2.1573095
CURSA DELTA PRAT,DELTA PRAT,el Prat de Llobregat,,Barcelona,41.3167712,2.0915264
CROS POPULAR DE SANTS,SANTS,Barcelona,,Barcelona,41.3753288,2.1349117
XIV CROS ESCOLAR SANTS MONTJUÏC 2021,SANTS MONTJUÏC,Barcelona,,Barcelona,41.3672708,2.1437553
7K,7K,València,,València / Valencia,39.4822418,-0.3375002
XVIIÈ CROS DE SANT MARTÍ,SANT MARTÍ,Barcelona,,Barcelona,41.4084102,2.2031889
CURSA DE PINEDA DE MAR,PINEDA DE MAR,Pineda de Mar,,Barcelona,41.6276807,2.6898707
CURSA POPULAR DEL MASNOU 2021,MASNOU,Sant Joan de les Abadesses,,Girona,42.2355446,2.2631993
CURSA DE NOU BARRIS,NOU BARRIS,Barcelona,,Barcelona,41.4458153,2.1798006
XL CURSA POPULAR DE LA GARRIGA,LA GARRIGA,la Garriga,,Barcelona,41.6849111,2.2865796
MITJA MARATÓ COSTA BARCELONA MARESME,COSTA BARCELONA MARESME,Vilassar de Mar,,Barcelona,41.5078858,2.3880903
CURSA DE LA MERCÈ,LA MERCÈ,Girona,,Girona,41.9818185,2.8255876
CURSA DE PARETS DEL VALLÈS,PARETS DEL VALLÈS,Parets del Vallès,,Barcelona,41.5729405,2.2338087
11A CURSA NOCTURNA DE L'HOSPITALET,L'HOSPITALET,l'Hospitalet de Llobregat,,Barcelona,41.3595118,2.0996318
"40A CURSA POPULAR ""CIUTAT DE CORNELLÀ""","""CIUTAT DE CORNELLÀ""",Cornellà de Llobregat,,Barcelona,41.3574598,2.0854332
19È CROS DE CANOVELLES,CANOVELLES,Canovelles,,Barcelona,41.6173948,2.28288
CURSA LLUÍS COMPANYS,LLUÍS COMPANYS,Anglès,,Girona,41.9563185,2.635811
57È CROS ESCOLAR DE CORNELLÀ DE LLOBREGAT,CORNELLÀ DE LLOBREGAT,Cornellà de Llobregat,,Barcelona,41.355724,2.0706225
22È CROS SANTA SUSANNA,SANTA SUSANNA,Santa Susanna,,Barcelona,41.6357256,2.7065933
MITJA MARATÓ AL PARC DE COLLSEROLA,PARC DE COLLSEROLA,Sant Cugat del Vallès,,Barcelona,41.4347985,2.1164083
41È CROS DELS ARENYS,ARENYS,Arenys de Mar,,Barcelona,41.5797031,2.5491562
4A CURSA SOLIDÀRIA DE CARDEDEU 21K,CARDEDEU,Cardedeu,,Barcelona,41.6385167,2.3558408
12A CURSA POPULAR DE SANT VICENÇ DELS HORTS,SANT VICENÇ DELS HORTS,Sant Vicenç dels Horts,,Barcelona,41.3934193,2.0099482
CURSA POPULAR SANT MARTÍ,SANT MARTÍ,Barcelona,,Barcelona,41.4084102,2.2031889
1R  CROS DE  TORDERA,TORDERA,Tordera,,Barcelona,41.7013581,2.7182911
22ENA CURSA DE MARTORELL 5KM,MARTORELL,Martorell,,Barcelona,41.4743886,1.9307159
ELS 10 DE LES FRANQUESES,ELS 10 DE LES FRANQUESES,Corró d'Avall,,Barcelona,41.6632547,2.2983157
XVIIIÈ CROS DE SANT MARTÍ,SANT MARTÍ,Barcelona,,Barcelona,41.4084102,2.2031889
55 CROS DE GRANOLLERS,GRANOLLERS,Granollers,,Barcelona,41.6079555,2.2876008
CURSA DE SANT ANDREU - BARCELONA,SANT ANDREU - BARCELONA,Barcelona,,Barcelona,41.4372495,2.1954872
26È CROS DE MALGRAT,MALGRAT,Cervera,,Lleida,41.7095128,1.3009333
CURSA EL PONT DE VILOMARA I ROCAFORT,EL PONT DE VILOMARA I ROCAFORT,el Pont de Vilomara i Rocafort,,Barcelona,41.7049485,1.907075
51È CROS CIUTAT DE MATARÓ,MATARÓ,Mataró,,Barcelona,41.5398348,2.4448926
43A CURSA POPULAR DE LA SAGRERA,LA SAGRERA,Barcelona,,Barcelona,41.4212771,2.1866174
MITJA MARATÓ CIUTAT DE VILANOVA,VILANOVA,Vilanova i la Geltrú,,Barcelona,41.2241992,1.7256327
XV CROS DE SANTS-MONTJUIC,SANTS-MONTJUIC,Barcelona,,Barcelona,41.3672708,2.1437553
13È CROS D’ALELLA,ALELLA,Alella,,Barcelona,41.4955603,2.2935325
5È CROS DE PINEDA DE MAR,PINEDA DE MAR,Pineda de Mar,,Barcelona,41.6276807,2.6898707
MITJA MARATÓ DE SITGES,SITGES,Sitges,,Barcelona,41.2353596,1.8114102
CURSA BARRI DE SANT ANTONI,BARRI DE SANT ANTONI,Alacant / Alicante,,Alacant / Alicante,38.3508606,-0.4854613
MITJA DE TERRASSA,TERRASSA,Terrassa,,Barcelona,41.5629623,2.0100492
XVIII CROS DE LES CORTS,LES CORTS,Barcelona,,Barcelona,41.3872483,2.1205352
28È CROS CIUTAT DE CALELLA,CALELLA,Calella,,Barcelona,41.6132925,2.6576102
XXIII CURSA SANT VICENÇ MOLLET DEL VALLÈS,SANT VICENÇ MOLLET DEL VALLÈS,Mollet del Vallès,,Barcelona,41.5393214,2.2134405
1R CROS SANT CEBRIÀ DE VALLALTA,SANT CEBRIÀ DE VALLALTA,Sant Cebrià de Vallalta,,Barcelona,41.620353,2.6017906
CROS DE L’EIXAMPLE,L’EIXAMPLE,Barcelona,,Barcelona,41.3936885,2.1636552
CURSA DE LA DONA SANTA COLOMA DE GRAMENET,LA DONA SANTA COLOMA DE GRAMENET,Santa Coloma de Gramenet,,Barcelona,41.450363,2.2191661
II TRAIL DE LA DONA RURAL,LA DONA RURAL,Ibeas de Juarros,,Castilla y León,42.251798,-3.5868551
CROS ESCOLAR CIUTAT VELLA,VELLA,Sollana,,València / Valencia,39.2653402,-0.3612999
MITJA MARATÓ COLOMENCA I 10K,COLOMENCA I,Santa Coloma de Gramenet,,Barcelona,41.4548785,2.2064485
XVII MARATÓ DEL MEDITERRANI:,MEDITERRANI:,Barcelona,,Barcelona,41.3311099,2.1150177
1A CURSA SOLIDÀRIA MOSSOS D'ESQUADRA BADALONA,MOSSOS D'ESQUADRA BADALONA,Badalona,,Barcelona,41.4605823,2.2502755
CROS ESCOLAR NOU BARRIS,NOU BARRIS,Barcelona,,Barcelona,41.4458153,2.1798006
25A MILLA URBANA DE RIPOLLET,RIPOLLET,Ripollet,,Barcelona,41.4993372,2.1573095
CURSA SOLIDÀRIA DE CARDEDEU,CARDEDEU,Cardedeu,,Barcelona,41.6385167,2.3558408
12A CURSA NOCTURNA DE L'HOSPITALET,L'HOSPITALET,l'Hospitalet de Llobregat,,Barcelona,41.3595118,2.0996318
XI CROS ESCOLAR DE SANT ANDREU,SANT ANDREU,Barcelona,,Barcelona,41.4372495,2.1954872
ELS 10 DE SANTA,ELS 10 DE SANTA,Santa Pau,,Girona,42.140992,2.5854685
CURSA POPULAR CIUTAT DE BADALONA,BADALONA,Badalona,,Barcelona,41.4493539,2.248254
9A MILLA URBANA DE SANT PERE,SANT PERE,Sant Pere de Ribes,,Barcelona,41.2619218,1.7721357
XXIII CURSA DEL POBLE SEC 5K,POBLE SEC,Barcelona,,Barcelona,41.3728061,2.1619718
42A CURSA POPULAR LES SANTES MATARÓ,LES SANTES MATARÓ,Mataró,,Barcelona,41.5451773,2.4536586
XLI CURSA POPULAR DE LA GARRIGA,LA GARRIGA,la Garriga,,Barcelona,41.6849111,2.2865796
CURSA DE LA DONA DE BADALONA,LA DONA DE BADALONA,Badalona,,Barcelona,41.4398655,2.2241898
XXV CURSA DE LA VINYA DE SANT LLORENÇ D’HORTONS...,LA VINYA DE SANT LLORENÇ D’HORTONS,Sant Llorenç d'Hortons,,Barcelona,41.4752924,1.7949213
XXXIII CURSA POPULAR DE LA VALL DEL TENES,LA VALL DEL TENES,Lliçà de Vall,,Barcelona,41.5803095,2.2466839
33A CURSA DE LA LLAGOSTA DE 5 I 10KM,LA LLAGOSTA DE 5 I,la Llagosta,,Barcelona,41.5131188,2.1931226
XI CURSA NICK HORTA,NICK HORTA,Barcelona,,Barcelona,41.4354273,2.1545837
58È CROS ESCOLAR DE CORNELLÀ DE LLOBREGAT,CORNELLÀ DE LLOBREGAT,Cornellà de Llobregat,,Barcelona,41.355724,2.0706225
7A CURSA SOLIDÀRIA SANT JUST DESVERN,SANT JUST DESVERN,Sant Just Desvern,,Barcelona,41.3858295,2.0757651
CURSA SANTA MARGARIDA I ELS MONJOS,SANTA MARGARIDA I ELS MONJOS,Santa Margarida i els Monjos,,Barcelona,41.3213389,1.6623519
23È CROS SANTA SUSANNA,SANTA SUSANNA,Santa Susanna,,Barcelona,41.6357256,2.7065933
CURSA DE CAN MERCADER,CAN MERCADER,Cornellà de Llobregat,,Barcelona,41.3567253,2.0843561
13A CURSA POPULAR DE SANT VICENÇ DELS HORTS,SANT VICENÇ DELS HORTS,Sant Vicenç dels Horts,,Barcelona,41.3934193,2.0099482
42È CROS DELS ARENYS,ARENYS,Arenys de Mar,,Barcelona,41.5797031,2.5491562
CROS CIUTAT DE CERDANYOLA,CERDANYOLA,Cerdanyola del Vallès,,Barcelona,41.4909972,2.1405506
V CROS DE CARDEDEU,CARDEDEU,Cardedeu,,Barcelona,41.6385167,2.3558408
XIXÈ CROS DE SANT MARTÍ,SANT MARTÍ,Barcelona,,Barcelona,41.4084102,2.2031889
2N CROS DE TORDERA,TORDERA,Tordera,,Barcelona,41.7013581,2.7182911
23ENA CURSA DE MARTORELL 5KM,MARTORELL,Martorell,,Barcelona,41.4743886,1.9307159
