event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,inscrits,DNF_total,DSQ_total,DNS_total,esport,classificat_sexe_desconegut
719,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,CONIL DE LA FRONTERA,5K -,5k,ok,,206,0,0,206,,,,,Carrera,206
719,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,CONIL DE LA FRONTERA,10 K,10k,ok,,256,0,0,256,,,,,Carrera,256
719,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,CONIL DE LA FRONTERA,INFANTIL CADETE -,infantilcadete,ok,,16,0,0,16,,,,,Carrera,16
719,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,CONIL DE LA FRONTERA,ALEVIN -,alevin,ok,,22,0,0,22,,,,,Carrera,22
719,IX CARRERA DE ROCHE POR EL SINDROME DE RETT,2026-08-09,CONIL DE LA FRONTERA,BENJAMIN -,benjamin,ok,,19,0,0,19,,,,,Carrera,19
733,XV CARRERA POPULAR NOCTURNA MALPARTIDA DE CACERES,2026-07-31,MALPARTIDA DE CACERES,5K,5k,ok,,79,0,0,79,,,,,Carrera,79
733,XV CARRERA POPULAR NOCTURNA MALPARTIDA DE CACERES,2026-07-31,MALPARTIDA DE CACERES,10K,10k,ok,,105,0,0,105,,,,,Carrera,105
711,VIII MARATON CIUDAD DE JAEN,2026-07-05,JAEN,MARATON INDIVIDUAL,maratonindividual,ok,,51,39,6,51,,,,,Carrera,6
711,VIII MARATON CIUDAD DE JAEN,2026-07-05,JAEN,MARATON POR EQUIPOS,maratonporequipos,ok,,37,0,0,37,,,,,Carrera,37
711,VIII MARATON CIUDAD DE JAEN,2026-07-05,JAEN,MARATON POR PAREJAS,maratonporparejas,ok,,4,0,0,4,,,,,Carrera,4
722,XXXVI TRAVESÍA INTERNACIONAL A NADO “CIUDAD DE CÁDIZ”,2026-07-05,CADIZ,3.300 M.,3300m,ok,,118,51,29,118,,,,,Travesía,38
722,XXXVI TRAVESÍA INTERNACIONAL A NADO “CIUDAD DE CÁDIZ”,2026-07-05,CADIZ,1000 M.,1000m,ok,,29,0,0,29,,,,,Travesía,29
715,XII CXM MANCHA REAL - SIERRA MAGINA 2026,2026-07-04,MANCHA REAL,CORTA,corta,ok,,95,35,14,95,,,,,Carrera por montaña,46
715,XII CXM MANCHA REAL - SIERRA MAGINA 2026,2026-07-04,MANCHA REAL,LARGA,larga,ok,,66,47,8,66,,,,,Carrera por montaña,11
,I MILLA CIUDAD DE TARIFA,2026-07-04,TARIFA,,,sense_resultats,,,,,,,,,,Carrera,
,VII JORNADA DEPORTIVA SOLIDARIA,2026-06-20,TORREDONJIMENO,,,sense_resultats,,,,,,,,,,Carrera,
720,IVAFIT CHALLENGE,2026-06-20,BOLLULLOS DEL CONDADO,OPEN,open,ok,,7,0,0,7,,,,,Carrera Híbrida,7
720,IVAFIT CHALLENGE,2026-06-20,BOLLULLOS DEL CONDADO,PAREJAS,parejas,ok,,244,162,82,244,,,,,Carrera Híbrida,0
720,IVAFIT CHALLENGE,2026-06-20,BOLLULLOS DEL CONDADO,PAREJAS MIXTA,parejasmixta,ok,,106,0,0,106,,,,,Carrera Híbrida,106
720,IVAFIT CHALLENGE,2026-06-20,BOLLULLOS DEL CONDADO,TEAMS,teams,ok,,94,47,47,94,,,,,Carrera Híbrida,0
720,IVAFIT CHALLENGE,2026-06-20,BOLLULLOS DEL CONDADO,TEAMS MIXTA,teamsmixta,ok,,19,0,0,19,,,,,Carrera Híbrida,19
720,IVAFIT CHALLENGE,2026-06-20,BOLLULLOS DEL CONDADO,PROS,pros,ok,,4,0,0,4,,,,,Carrera Híbrida,4
700,IX CXM NOCTURNA MONTES DE CEUTA,2026-06-06,CEUTA,BINOMIOS,binomios,ok,,241,35,4,241,,,,,Carrera por montaña,202
700,IX CXM NOCTURNA MONTES DE CEUTA,2026-06-06,CEUTA,INVIDIDUAL,invididual,ok,,796,154,21,796,,,,,Carrera por montaña,621
700,IX CXM NOCTURNA MONTES DE CEUTA,2026-06-06,CEUTA,CRONOESCALADA,cronoescalada,ok,,540,11,73,540,,,,,Carrera por montaña,456
716,XXXII CARRERA URBANA SAN FELIPE NERI,2026-06-06,CADIZ,PITUFOS,pitufos,ok,,108,0,0,108,,,,,Carrera,108
716,XXXII CARRERA URBANA SAN FELIPE NERI,2026-06-06,CADIZ,PREBENJAMIN,prebenjamin,ok,,84,0,0,84,,,,,Carrera,84
716,XXXII CARRERA URBANA SAN FELIPE NERI,2026-06-06,CADIZ,BENJAMIN - ALEVIN,benjaminalevin,ok,,137,0,0,137,,,,,Carrera,137
716,XXXII CARRERA URBANA SAN FELIPE NERI,2026-06-06,CADIZ,ADULTOS,adultos,ok,,123,37,38,123,,,,,Carrera,48
713,CARRERA POPULAR SAN MARTIN DEL TESORILLO,2026-05-30,SAN MARTIN DEL TESORILLO,SUB10,sub10,ok,,27,0,0,27,,,,,Carrera,27
713,CARRERA POPULAR SAN MARTIN DEL TESORILLO,2026-05-30,SAN MARTIN DEL TESORILLO,SUB12,sub12,ok,,40,0,0,40,,,,,Carrera,40
713,CARRERA POPULAR SAN MARTIN DEL TESORILLO,2026-05-30,SAN MARTIN DEL TESORILLO,SUB14,sub14,ok,,14,0,0,14,,,,,Carrera,14
713,CARRERA POPULAR SAN MARTIN DEL TESORILLO,2026-05-30,SAN MARTIN DEL TESORILLO,SUB16,sub16,ok,,6,0,0,6,,,,,Carrera,6
713,CARRERA POPULAR SAN MARTIN DEL TESORILLO,2026-05-30,SAN MARTIN DEL TESORILLO,ABSOLUTA,absoluta,ok,,280,0,0,280,,,,,Carrera,280
