municipio,comarca,provincia
CONIL DE LA FRONTERA,La Janda,Andalucía
MALPARTIDA DE CACERES,,Cáceres
JAEN,,Jaén
CADIZ,Bahía de Cádiz,Andalucía
MANCHA REAL,,Jaén
BOLLULLOS DEL CONDADO,El Condado,Huelva
CEUTA,,Ceuta
SAN MARTIN DEL TESORILLO,Campo de Gibraltar,Andalucía
ALCAUDETE,,Jaén
VILLACARRILLO,,Jaén
TORREPEROGIL,,Jaén
VILLANUEVA DE CORDOBA,,Córdoba
BURGUILLOS DEL CERRO,,Badajoz
ALDEAHERMOSA DE MONTIZON,,Jaén
TARIFA,Campo de Gibraltar,Andalucía
BAEZA,,Jaén
Valencia del Ventoso,,Badajoz
VALDELACALZADA,,Badajoz
BAZA,Comarca de Baza,Granada
BIENVENIDA,,Badajoz
BURGUILLO DEL CERRO,,
FUENTE DE CANTOS,,Badajoz
HUESA,,Jaén
CASTELLAR,,Jaén
LA CODOSERA,,Badajoz
FACINAS,Campo de Gibraltar,Andalucía
MONTIJO,,Badajoz
NAVALVILLAR DE PELA,,Badajoz
MONESTERIO,,Badajoz
FUENTE DEL MAESTRE,,Badajoz
BOLLULLOS PAR DEL CONDADO,El Condado,Huelva
OLIVENZA,,Badajoz
MEDINA DE LAS TORRES,,Badajoz
CABEZA DEL BUEY,,Badajoz
VILLAFRANCA DE LOS BARROS,,Badajoz
FUENLABRADA DE LOS MONTES,,Badajoz
ZAFRA,,Badajoz
FREGENAL DE LA SIERRA,,Badajoz
SANTA MARTA DE LOS BARROS,,Badajoz
MÉRIDA,,Badajoz
LLERENA,,Badajoz
DON BENITO,,Badajoz
BERLANGA,El Bierzo,León
VILLAR DEL REY,,Badajoz
BODONAL DE LA SIERRA,,Badajoz
CASAS DE DON PEDRO,,Badajoz
HERRERA DEL DUQUE,,Badajoz
Monterrubio de la Serena.,,Badajoz
AZUAGA,,Badajoz
CABEZA LA VACA,,Badajoz
VALLE DE MATAMOROS,,Badajoz
CABEZA EL BUEY,,Badajoz
LA LAPA,,Badajoz
LA LUISIANA,,Sevilla
Quintana de la Serena,,Badajoz
SAN ROQUE,Campo de Gibraltar,Andalucía
SANTA ELENA,,Jaén
LA LINEA DE LA CONCEPCION,Campo de Gibraltar,Andalucía
LA BAZANA - FREGENAL DE LA SIERRA,,
HERRERA,,Sevilla
