event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,classificat_sexe_desconegut,DNF_h,DNF_d,DNF_total,DSQ_h,DSQ_d,DSQ_total,DNS_h,DNS_d,DNS_total,estat_desconegut_h,estat_desconegut_d,estat_desconegut_sexe_desconegut,esport
2618,LXXXV TRAVESÍA A NADO PUERTO DE MOTRIL,2026-08-15,Motril (Granada),PRUEBA ABSOLUTA,lxxxv-travesia-a-nado-puerto-de-motril-prueba-absoluta,ok,,194,149,45,194,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2618,LXXXV TRAVESÍA A NADO PUERTO DE MOTRIL,2026-08-15,Motril (Granada),PRUEBA JÓVENES,lxxxv-travesia-a-nado-puerto-de-motril-prueba-jovenes,ok,,33,19,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2628,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),INFANTIL,travesia-100-horas-del-deporte-roquetas-de-mar-2026-infantil,ok,,13,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2628,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),ADAPTADO INFANTIL,travesia-100-horas-del-deporte-roquetas-de-mar-2026-adaptado-infantil,ok,,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2628,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),ADULTOS,travesia-100-horas-del-deporte-roquetas-de-mar-2026-adultos,ok,,49,35,14,49,0,0,0,0,0,0,0,0,0,0,2,0,0,Travesía a nado
2628,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),ALEVÍN,travesia-100-horas-del-deporte-roquetas-de-mar-2026-alevin,ok,,24,9,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2628,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),CADETE,travesia-100-horas-del-deporte-roquetas-de-mar-2026-cadete,ok,,11,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2628,TRAVESÍA 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),ADAPTADO ADULTOS,travesia-100-horas-del-deporte-roquetas-de-mar-2026-adaptado-adultos,ok,,6,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
2629,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),ABSOLUTA,atletismo-100-horas-del-deporte-roquetas-de-mar-2026-absoluta,ok,,143,91,52,143,0,0,0,0,0,0,0,0,0,0,2,1,0,Carrera Popular
2629,ATLETISMO 100 HORAS DEL DEPORTE ROQUETAS DE MAR 2026,2026-08-15,Roquetas de Mar (Almería),BEBE - F,atletismo-100-horas-del-deporte-roquetas-de-mar-2026-bebe-f,ok,,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,Carrera Popular
