municipio,provincia,comarca
Motril,Granada,Comarca de la Costa Granadina
Roquetas de Mar,Almería,
Vélez de Benaudalla,Granada,Comarca de la Costa Granadina
Alamedilla,Granada,Comarca de Los Montes
Sorbas,Almería,
Garrucha,Almería,
Vícar,Almería,
Gualchos,Granada,Comarca de la Costa Granadina
Cuevas del Almanzora,Almería,
Almería,Almería,
"Ejido, El",Almería,
Dílar,Granada,Comarca de la Vega de Granada
Monachil,Granada,Comarca de la Vega de Granada
Trevélez,Granada,Comarca de la Alpujarra Granadina
Láujar de Andarax,Almería,
Dúrcal,Granada,Comarca del Valle de Lecrín
Atarfe,Granada,Comarca de la Vega de Granada
Ogíjares,Granada,Comarca de la Vega de Granada
María,Almería,Los Vélez
Berja,Almería,
"Palacios y Villafranca, Los",Sevilla,
Huéscar,Granada,Comarca de Huéscar
Loja,Granada,Comarca de Loja
Almuñécar,Granada,Comarca de la Costa Granadina
Baza,Granada,Comarca de Baza
Vélez-Blanco,Almería,Los Vélez
Granada,Granada,Comarca de la Vega de Granada
Huétor Tájar,Granada,Comarca de Loja
Olula del Río,Almería,Valle del Almanzora
Cenes de la Vega,Granada,Comarca de la Vega de Granada
Alhendín,Granada,Comarca de la Vega de Granada
Órgiva,Granada,Comarca de la Alpujarra Granadina
Zurgena,Almería,Valle del Almanzora
Coín,Málaga,Valle del Guadalhorce
Salobreña,Granada,Comarca de la Costa Granadina
Sevilla,Sevilla,
Lanjarón,Granada,Comarca de la Alpujarra Granadina
Ronda,Málaga,Serranía de Ronda
Bédar,Almería,
Alhama de Granada,Granada,Comarca de Alhama
Cartagena,Murcia,Campo de Cartagena y Mar Menor
Jaén,Jaén,
Benahadux,Almería,
Santa Fe,Granada,Comarca de la Vega de Granada
Enix,Almería,
Córdoba,Córdoba,
Serón,Almería,Valle del Almanzora
Iznalloz,Granada,Comarca de Los Montes
Salar,Granada,Comarca de Loja
Polopos,Granada,Comarca de la Costa Granadina
Albolote,Granada,Comarca de la Vega de Granada
Huétor Vega,Granada,Comarca de la Vega de Granada
Lecrín,Granada,Comarca del Valle de Lecrín
Alcudia de Guadix,Granada,Comarca de Guadix
Turre,Almería,
Cúllar Vega,Granada,Comarca de la Vega de Granada
Fines,Almería,Valle del Almanzora
Vegas del Genil,Granada,Comarca de la Vega de Granada
Bailén,Jaén,
Huércal de Almería,Almería,
