municipio,comarca,provincia
LLEIDA,Segrià,Lleida
MOLLERUSSA,Pla d'Urgell,Lleida
ALGUAIRE,Segrià,Lleida
PALAU ANGLESOLA,Pla d'Urgell,Lleida
LA GRANJA ESCARP,Segrià,Lleida
VILAGRASSA,Urgell,Lleida
ALMENAR,Segrià,Lleida
VILANOVA DE LA BARCA,Segrià,Lleida
MIRALCAMP,Pla d'Urgell,Lleida
TAMARITE DE LITERA,,
VILA-SANA,Pla d'Urgell,Lleida
PUIGVERD,Osona,Girona
SEDÓ,Segarra,Lleida
LINYOLA,Pla d'Urgell,Lleida
ALCOLEA DE CINCA,,
JUNEDA,Garrigues,Lleida
BALAGUER,Noguera,Lleida
BARBASTRO,Barcelonès,Catalunya
PLA D'URGELL,Pla d'Urgell,Lleida
BERBEGAL,Garraf,Catalunya
FLIX,Ribera d'Ebre,Tarragona
CORBINS,Segrià,Lleida
CERVERA,Segarra,Lleida
CLARIANA DE CARDENER,Solsonès,Lleida
ALBAGÉS,Garrigues,Lleida
CASA,Montsià,Tarragona
SOLSONA,Solsonès,Lleida
RAIMAT,Segrià,Lleida
ALMACELLES,Segrià,Lleida
BASSES,Segrià,Lleida
MANRESA,Bages,Catalunya
VERDÚ,Urgell,Lleida
ALBESA,Noguera,Lleida
TORREFARRERA,Segrià,Lleida
ROSSELLÓ,Segrià,Lleida
ROSSELLO,Segrià,Lleida
BELL-LLOC,Vallès Oriental,Catalunya
GUISSONA,Segarra,Lleida
FRAGA,Tarragonès,Tarragona
ALCANÓ,Segrià,Lleida
BELLVÍS,Pla d'Urgell,Lleida
CASTELL DEL REMEI,Noguera,Lleida
TÉRMENS,Noguera,Lleida
ALPICAT,Segrià,Lleida
BELLPUIG,Urgell,Lleida
VILANOVA DE BELLPUIG,Pla d'Urgell,Lleida
ALGERRI,Noguera,Lleida
AITONA,Segrià,Lleida
EL VILOSELL,Garrigues,Lleida
PREIXANA,Urgell,Lleida
VIELHA,Val d'Aran,Lleida
BRÀFIM,Alt Camp,Tarragona
ARBECA,Garrigues,Lleida
SIDAMON,Pla d'Urgell,Lleida
CASTELLDANS,Garrigues,Lleida
MASSOTERES,Segarra,Lleida
COMA-RUGA,Baix Penedès,Tarragona
MENÀRGUENS,Noguera,Lleida
ALBATÀRREC,Segrià,Lleida
LA GRANADELLA,Garrigues,Lleida
LA PORTELLA,Segrià,Lleida
ESPLUGA DE FRANCOLI,Conca de Barberà,Tarragona
ÀGER,Noguera,Lleida
AVELLANES,Noguera,Lleida
VALLS DE CARDÓS,,
LA BORDA DEL PUBILL,Pallars Sobirà,Lleida
SIDANOM,,
TÀRREGA,Urgell,Lleida
SANT MARTI DE MALDA,Urgell,Lleida
SERÒS,Segrià,Lleida
MONZÓN,Baix Camp,Tarragona
OLIANA,Alt Urgell,Lleida
ALCARRÀS,Segrià,Lleida
MONTOLIU,Baix Camp,Tarragona
TORRELAMEU,Noguera,Lleida
LES BORGES BLANQUES,Garrigues,Lleida
MAIALS,Segrià,Lleida
CASTELLNOU DE SEANA,Pla d'Urgell,Lleida
TORREGROSSA,Pla d'Urgell,Lleida
CAMARASA,Noguera,Lleida
ALTORRICÓ,,
MONTGAI,Noguera,Lleida
VIMBODÍ I POBLET,Conca de Barberà,Tarragona
LA SENTIU DE SIÓ,Noguera,Lleida
SALARDÚ,Val d'Aran,Lleida
GIMENELLS,Segrià,Lleida
ARTESA,Noguera,Lleida
AGRAMUNT,Urgell,Lleida
ALMATRET,Segrià,Lleida
ALMATRE,,
EL PLA DE LA FONT,Segrià,Lleida
IVARS DE NOGUERA,Noguera,Lleida
SANT LLORENÇ,Vallès Occidental,Catalunya
TORRENTE DE CINCA,,
GUIMERÀ,Urgell,Lleida
VELILLA DE CINCA,,
ALCOLETGE,Segrià,Lleida
ALFARRÀS,Segrià,Lleida
VALLFOGONA,Berguedà,Catalunya
UTXESA,Segrià,Lleida
IVARS,Noguera,Lleida
