ciutat,comarca_regio,coord_1,coord_2,data,distancia_m,en_meta,en_meta_d,en_meta_h,en_meta_other,esport,estat_cursa,event_numeric_id,event_slug,event_url,inscrits_d,inscrits_h,inscrits_other,modalitat_id,modalitat_nom,no_presentats,no_presentats_d,no_presentats_h,no_presentats_other,nom_cursa,pais,provincia_estat,retirats,retirats_d,retirats_h,retirats_other,sortida_donada,sortida_donada_d,sortida_donada_h,sortida_donada_other,total_inscrits
Cullera,la Ribera Baixa,39.1660987,-0.2410998,2026-08-01T00:00:00Z,7000,326,72,254,,running,finished_official,3387,xxix-carrera-matutina-a-la-playa-de-cullera,https://www.mychip.es/e/xxix-carrera-matutina-a-la-playa-de-cullera,89,287,,6a422bbefe8b6adc72b976b2,7k,42,16,26,,XXIX CARRERA MATUTINA A LA PLAYA DE CULLERA,España,Comunitat Valenciana,8,1,7,,334,73,261,,376
Cullera,la Ribera Baixa,39.1660987,-0.2410998,2026-08-01T00:00:00Z,7000,,0,0,,running,finished_official,3387,xxix-carrera-matutina-a-la-playa-de-cullera,https://www.mychip.es/e/xxix-carrera-matutina-a-la-playa-de-cullera,1,0,,6a422bbffe8b6adc72b976b3,7k + Camiseta,1,0,0,,XXIX CARRERA MATUTINA A LA PLAYA DE CULLERA,España,Comunitat Valenciana,,0,0,,1,0,0,,1
Alfarp,,39.276916,-0.5607783,2026-07-04T00:00:00Z,7000,133,35,98,,running,finished_official,3381,v-cursa-norcurna-alfarb,https://www.mychip.es/e/v-cursa-norcurna-alfarb,72,126,,6a0d3b055c406a32b12afdf8,7K.,64,36,28,,V cursa Norcurna Alfarb,Spain,Valencian Community,1,1,0,,134,36,98,,198
Alfarp,,39.276916,-0.5607783,2026-07-04T00:00:00Z,7000,,0,0,,running,finished_official,3381,v-cursa-norcurna-alfarb,https://www.mychip.es/e/v-cursa-norcurna-alfarb,0,0,,6a0d3e891f7818dc7d640934,7k,0,0,0,,V cursa Norcurna Alfarb,Spain,Valencian Community,,0,0,,0,0,0,,0
la Vall d'Uixó,la Plana Baixa,39.8237677,-0.2456088,2026-06-25T00:00:00Z,10000,247,68,179,,trail_running,finished_official,3373,12-carrera-nocturna-a-la-font-de-garrut-la-vall-duixo,https://www.mychip.es/e/12-carrera-nocturna-a-la-font-de-garrut-la-vall-duixo,73,208,,69d8828ae060a5e7ce0854fe,Nocturna,32,5,27,,"12ª CARRERA NOCTURNA A LA FONT DE GARRUT, La Vall D'Uixó",España,Comunitat Valenciana,2,0,2,,249,68,181,,281
Urbanització Campolivar,,39.528919,-0.4245252,2026-06-20T00:00:00Z,10000,520,114,406,,running,finished_official,3348,xxiii-10k-godella-nicoboco,https://www.mychip.es/e/xxiii-10k-godella-nicoboco,139,492,,696d0947d76fba9cdd8ddcb1,10k,99,21,77,,XXIII 10k Godella Nicoboco,Spain,Valencian Community,12,4,8,,532,118,414,,631
Urbanització Campolivar,,39.528919,-0.4245252,2026-06-20T00:00:00Z,,,0,0,,running,finished_official,3348,xxiii-10k-godella-nicoboco,https://www.mychip.es/e/xxiii-10k-godella-nicoboco,19,40,,696d0947d76fba9cdd8ddcb2,Menores,59,0,0,,XXIII 10k Godella Nicoboco,Spain,Valencian Community,,0,0,,59,0,0,,59
València,,39.4558513,-0.3977463,2026-06-20T00:00:00Z,,,0,0,,climbing,finished_official,3383,3-prueba-de-copa-de-escalada-jocs-esportius-femecv-2026-valencia-u15-u17,https://www.mychip.es/e/3-prueba-de-copa-de-escalada-jocs-esportius-femecv-2026-valencia-u15-u17,16,22,,6a0ecf50141cd3aeefb0746a,Bloque,38,0,0,,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U15 y U17,Spain,Valencian Community,,0,0,,38,0,0,,38
València,,39.4558513,-0.3977463,2026-06-20T00:00:00Z,,,0,0,,climbing,finished_official,3383,3-prueba-de-copa-de-escalada-jocs-esportius-femecv-2026-valencia-u15-u17,https://www.mychip.es/e/3-prueba-de-copa-de-escalada-jocs-esportius-femecv-2026-valencia-u15-u17,1,0,,6a16fea121c3bfbc505900cf,Open,1,0,0,,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U15 y U17,Spain,Valencian Community,,0,0,,1,0,0,,1
València,,39.4558513,-0.3977463,2026-06-20T00:00:00Z,,,0,0,,climbing,finished_official,3384,campeonato-autonomico-de-escalada-en-bloque-femecv-2026-valencia,https://www.mychip.es/e/campeonato-autonomico-de-escalada-en-bloque-femecv-2026-valencia,16,33,,6a0ed2d44a49c0ce2e461432,Campeonato ,49,0,0,,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U19 y ABSOLUTA,Spain,Valencian Community,,0,0,,49,0,0,,49
València,,39.4558513,-0.3977463,2026-06-20T00:00:00Z,,,0,0,,climbing,finished_official,3384,campeonato-autonomico-de-escalada-en-bloque-femecv-2026-valencia,https://www.mychip.es/e/campeonato-autonomico-de-escalada-en-bloque-femecv-2026-valencia,16,39,,6a0ed2d54a49c0ce2e461433,Open,55,0,0,,CAMPEONATO AUTONÓMICO DE BLOQUE 2026 · U19 y ABSOLUTA,Spain,Valencian Community,,0,0,,55,0,0,,55
Guisando,,40.2223924,-5.1399493,2026-06-13T00:00:00Z,55000,,0,0,,trail_running,finished_official,3349,desafio-galayos-campeonato-de-espana-de-clubs-fedme,https://www.mychip.es/e/desafio-galayos-campeonato-de-espana-de-clubs-fedme,31,168,,696e3ea6a369b5f186ba3049,60k,199,0,0,,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",España,Castilla y León,,0,0,,199,0,0,,199
Guisando,,40.2223924,-5.1399493,2026-06-13T00:00:00Z,42000,,0,0,,trail_running,finished_official,3349,desafio-galayos-campeonato-de-espana-de-clubs-fedme,https://www.mychip.es/e/desafio-galayos-campeonato-de-espana-de-clubs-fedme,21,101,,696e3ea6a369b5f186ba304a,42k ,122,0,0,,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",España,Castilla y León,,0,0,,122,0,0,,122
Guisando,,40.2223924,-5.1399493,2026-06-13T00:00:00Z,28000,,0,0,,trail_running,finished_official,3349,desafio-galayos-campeonato-de-espana-de-clubs-fedme,https://www.mychip.es/e/desafio-galayos-campeonato-de-espana-de-clubs-fedme,24,118,,696e3ea7a369b5f186ba304b,"28k, Trail",142,0,0,,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",España,Castilla y León,,0,0,,142,0,0,,142
Guisando,,40.2223924,-5.1399493,2026-06-13T00:00:00Z,20000,,0,0,,trail_running,finished_official,3349,desafio-galayos-campeonato-de-espana-de-clubs-fedme,https://www.mychip.es/e/desafio-galayos-campeonato-de-espana-de-clubs-fedme,37,47,,696e3ea8a369b5f186ba304c,20k. Sprint Trail,84,0,0,,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",España,Castilla y León,,0,0,,84,0,0,,84
Guisando,,40.2223924,-5.1399493,2026-06-13T00:00:00Z,20000,,0,0,,trail_running,finished_official,3349,desafio-galayos-campeonato-de-espana-de-clubs-fedme,https://www.mychip.es/e/desafio-galayos-campeonato-de-espana-de-clubs-fedme,6,4,,696e3ea9a369b5f186ba304d,20k Senderista,10,0,0,,"Desafío Galayos, Campeonato de España de Clubs. FEDME.",España,Castilla y León,,0,0,,10,0,0,,10
Crevillent,el Baix Vinalopó,38.2488733,-0.8090199,2026-06-13T00:00:00Z,15500,358,57,301,,trail_running,finished_official,3363,xiv-cursa-per-muntanya-les-xosses-de-crevillent,https://www.mychip.es/e/xiv-cursa-per-muntanya-les-xosses-de-crevillent,70,342,,69ae6eaa074c39804147845c,Trail,36,4,32,,XIV Cursa per Muntanya les Xosses de Crevillent,España,Comunitat Valenciana,6,1,5,,376,66,310,,412
Crevillent,el Baix Vinalopó,38.2488733,-0.8090199,2026-06-13T00:00:00Z,12500,182,83,99,,trail_running,finished_official,3363,xiv-cursa-per-muntanya-les-xosses-de-crevillent,https://www.mychip.es/e/xiv-cursa-per-muntanya-les-xosses-de-crevillent,91,117,,69ae6eaa074c39804147845d,Sender,26,8,18,,XIV Cursa per Muntanya les Xosses de Crevillent,España,Comunitat Valenciana,,0,0,,182,83,99,,208
Chiva,La Hoya de Buñol,39.4710128,-0.7241726,2026-06-06T00:00:00Z,41000,59,2,57,,trail_running,finished_official,3350,ix-amanece-por-chiva-maraton-nocturno,https://www.mychip.es/e/ix-amanece-por-chiva-maraton-nocturno,2,74,,696f65f63d84c7af4a1015ee,42k,9,0,9,,"IX Amanece por chiva, Maratón Nocturno",España,Comunitat Valenciana,8,0,8,,67,2,65,,76
