id,modalidad_raceresult,finisher_h,finisher_d,finisher_total,nombre_carrera,fecha_inicio,fecha_fin,tipo_deporte,distancias,ubicacion,region,pais,codigo_pais,lat,lon,url_evento,municipio,comarca,provincia
101182,Clasificación general,222.0,104.0,326,Trail la Vegueta 2018,2018-07-07,2018-07-07,Running,"5K,10K",Tinajo,,España,ES,29.0667,-13.6771,https://my.raceresult.com/101182/,Tinajo,,Las Palmas
101238,Clasificación general,,,258,Relevos el Cuchillo 2018,2018-11-10,2018-11-10,Running,,El Cuchillo,,España,ES,29.0814,-13.663,https://my.raceresult.com/101238/,Tinajo,,Las Palmas
101238,Clasificación Relevos|Cls. Modalidad,,,41,Relevos el Cuchillo 2018,2018-11-10,2018-11-10,Running,,El Cuchillo,,España,ES,29.0814,-13.663,https://my.raceresult.com/101238/,Tinajo,,Las Palmas
101238,Clasificación por modalidad,,,9,Relevos el Cuchillo 2018,2018-11-10,2018-11-10,Running,,El Cuchillo,,España,ES,29.0814,-13.663,https://my.raceresult.com/101238/,Tinajo,,Las Palmas
103015,Clasificación general,133.0,49.0,182,Carrera Popular  EL Quíquere 2018,2018-08-04,2018-08-04,Running,"5K,10K",Tias,,España,ES,28.9242,-13.645,https://my.raceresult.com/103015/,Tías,,Las Palmas
103018,Clasificación general,173.0,133.0,306,Travesía Puerto del Carmen 2018,2018-08-04,2018-08-04,Natación,,Tias,,España,ES,28.9242,-13.645,https://my.raceresult.com/103018/,Tías,,Las Palmas
103021,Clasificación general,193.0,141.0,334,Travesía San Gines 2018,2018-08-11,2018-08-11,Natación,,Arrecife,,España,ES,28.9937,-13.6073,https://my.raceresult.com/103021/,San Bartolomé,,Las Palmas
103022,Clasificación general,140.0,112.0,252,Travesía Puerto Calero 2018,2018-08-26,2018-08-26,Natación,,Tias,,España,ES,28.9192,-13.7072,https://my.raceresult.com/103022/,Yaiza,,Las Palmas
103022,Clasificación Club,,,1,Travesía Puerto Calero 2018,2018-08-26,2018-08-26,Natación,,Tias,,España,ES,28.9192,-13.7072,https://my.raceresult.com/103022/,Yaiza,,Las Palmas
103023,Clasificación general,137.0,111.0,248,Travesía Punta Mujeres 2018,2018-09-01,2018-09-01,Natación,,Haria,,España,ES,29.1448,-13.4476,https://my.raceresult.com/103023/,Haría,,Las Palmas
