municipio,provincia,comarca
Quicena,Huesca,Hoya de Huesca / Plana de Uesca
Realejos (Los),Santa Cruz de Tenerife,
Olesa de Bonesvalls,Barcelona,Alt Penedès
Ventas con Peña Aguilera (Las),Toledo,
Tous,Valencia,
Monterrei,Ourense,Verín
Biescas,Huesca,Alto Gállego
Sineu,Baleares (Illes),Pla de Mallorca
Arrigorriaga,Bizkaia,
Sevilla la Nueva,Madrid,
Girona,Girona,Gironès
Mendexa,Bizkaia,
Vidreres,Girona,la Selva
Barcience,Toledo,
Vallehermoso,Santa Cruz de Tenerife,
Saelices,Cuenca,
Busot,Alicante,l'Alacantí
San Miguel de Abona,Santa Cruz de Tenerife,
Llávia,Girona,Baix Empordà
Gilet,Valencia,
Llubí,Baleares (Illes),Pla de Mallorca
Almenara,Castellón,
Baeza,Jaén,
Consell,Baleares (Illes),Raiguer
Albaida del Aljarafe,Sevilla,
Villatoya,Albacete,
Alhama de Aragón,Zaragoza,Comunidad de Calatayud
Castellón de la Plana,Castellón,la Plana Alta
Jerez de los Caballeros,Badajoz,
Palma,Baleares (Illes),Palma
Puerto de Santa Maráa (El),Cádiz,
San Martán de la Vega,Madrid,
San Bartolomé,Las Palmas,
Oropesa del Mar,Castellón,la Plana Alta
Panticosa,Huesca,Alto Gállego
Peñíscola,Castellón,el Baix Maestrat
Zarza (La),Badajoz,
Montijo,Badajoz,
Vandellòs i l'Hospitalet de l'Infant,Tarragona,Baix Camp
Tarragona,Tarragona,Tarragonès
Palmas de Gran Canaria (Las),Las Palmas,
Frómista,Palencia,
Yepes,Toledo,
Torre Endoménech,Castellón,la Plana Alta
Bocairent,Valencia,
Maluenda,Zaragoza,Comunidad de Calatayud
Nules,Castellón,
Cualedro,Ourense,Verín
Solana de los Barros,Badajoz,
Puntallana,Santa Cruz de Tenerife,
Santa Cruz de Tenerife,Santa Cruz de Tenerife,
Huesca,Huesca,Hoya de Huesca / Plana de Uesca
Benlloch,Castellón,la Plana Alta
Binissalem,Baleares (Illes),Raiguer
Calvià,Baleares (Illes),Serra de Tramuntana
Felanitx,Baleares (Illes),Migjorn
Vitoria-Gasteiz,Araba/Álava,Gasteizko kuadrilla
Etxebarri,Bizkaia,
Granada,Granada,Comarca de la Vega de Granada
Codosera (La),Badajoz,
Bétera,Valencia,
San Vicente de Alcántara,Badajoz,
Talavera de la Reina,Toledo,
Bargas,Toledo,
Burjassot,Valencia,
Valencia,Valencia,Comarca de València
Llíria,Valencia,
Osuna,Sevilla,
Arucas,Las Palmas,
Cangas de Onís,Asturias,
Oliva,Valencia,
Marines,Valencia,
Zahara,Cádiz,Sierra de Cádiz
Vigo,Pontevedra,Vigo
Agüimes,Las Palmas,
Yesa (La),Valencia,La Serranía
Bosque (El),Cádiz,Sierra de Cádiz
Ontinyent,Valencia,
Torrijos,Toledo,
Coruña (A),A Coruña,Santiago
Barcelona,Barcelona,Barcelonès
Ribadesella,Asturias,
Lleida,Lleida,Segrià
Getxo,Bizkaia,
Bilbao,Bizkaia,
Gijón,Asturias,
Colunga,Asturias,
Palacios y Villafranca (Los),Sevilla,
Alamús (Els),Lleida,Segrià
Sabadell,Barcelona,Vallès Occidental
Madrid,Madrid,
Santa Marta,Badajoz,
Langreo,Asturias,
