slug,event_id,distancia,participantes_totales,participantes_hombres,participantes_mujeres,participantes_sin_especificar
iii-podoactiva-medieval-trail-montearagn,5d3acf93-0754-4f56-9579-016fac1f0671,TRAIL 21K,54.0,49.0,5.0,0.0
iii-podoactiva-medieval-trail-montearagn,5d3acfe5-c1c4-4ffb-802c-0420ac1f0671,TRAIL 9K,80.0,65.0,15.0,0.0
dh-la-montatildea-r-final,5d3addd4-92a0-4479-85af-0170ac1f0671,FINAL,81.0,81.0,0.0,0.0
marxa-bonesvalls-2019,5dac44b1-dc54-4946-8f70-1edeac1f00b3,MB30,65.0,50.0,15.0,0.0
marxa-bonesvalls-2019,5dac44b8-e6d0-4ee9-83cb-4f22ac1f1f76,MB14,250.0,153.0,97.0,0.0
quiero-vivir-sano-2019,5d3b6ee6-b388-4cbc-87d6-5885ac1f0671,5K,247.0,143.0,103.0,1.0
--2019-38126,,,0.0,0.0,0.0,0.0
triatlon-trilocos-2019,5d3c9292-37a8-4ef7-8da1-6cdfac1f0671,RUTA INDIVIDUAL,180.0,0.0,0.0,180.0
triatlon-trilocos-2019,5d3c9316-90e4-4f87-947f-6cddac1f0671,NOVATOS/INFANTILES,28.0,0.0,0.0,28.0
triatlon-trilocos-2019,5d3c9344-aa74-40ef-9279-4a8aac1f0671,MONTANA,15.0,0.0,0.0,15.0
triatlon-trilocos-2019,5d3c9362-1060-40e4-87e0-6ce1ac1f0671,RELEVOS V,3.0,0.0,0.0,3.0
triatlon-trilocos-2019,5d3e2510-5c60-419a-9c60-584aac1f0671,Relevos Femenil,2.0,0.0,0.0,2.0
triatlon-trilocos-2019,5d3e2922-d0a0-4855-a705-5847ac1f0671,RELEVOS MIXTOS,10.0,0.0,0.0,10.0
reto-sierra-6ta-edicion,5d40ad75-3d4c-4728-9424-436fac1f0671,5k,310.0,159.0,151.0,0.0
reto-sierra-6ta-edicion,5d40aeb7-8c40-44d7-868f-41d1ac1f0671,10k,375.0,252.0,123.0,0.0
viii-subida-al-molino---ventas-con-petildea-aguilera-5942,5d3dbeb0-72a8-475b-ac7a-2769ac1f0671,TODAS LAS CATEGORÍAS - Cierre de inscripciones 13/09/2019 - Hasta las 10:00h AM,84.0,79.0,5.0,0.0
--laquo-raquo-55290,5d3efc1d-03d4-4471-8972-4e86ac1f0671,1 км,247.0,247.0,0.0,0.0
--laquo-raquo-55290,5d3efc49-3bb4-4549-8339-4e86ac1f0671,5 км,665.0,0.0,0.0,665.0
70e-circuit-ciclista-festes-sant-salvador,,,0.0,0.0,0.0,0.0
volta-a-peu-tous-2019,5d3f01c5-cf7c-44ae-80ee-4e88ac1f0671,Absoluta,254.0,210.0,44.0,0.0
xi-marcha-btt-concello-de-monterrei,5d3f11c0-fb4c-4991-9c4b-4e87ac1f0671,Ruta Larga,54.0,54.0,0.0,0.0
xi-marcha-btt-concello-de-monterrei,5d3f1391-c108-4b02-9367-4e83ac1f0671,Ruta Corta,128.0,128.0,0.0,0.0
